animal_breed;offence;infringment_date;suburb_name
Cross Breed;Unregistered Dog;2024-09;RAPID CREEK
Cross Breed;Unregistered Dog;2024-10;LEANYER
Cross Breed;Unregistered Dog;2024-10;LEANYER
Cross Breed;Unregistered Dog;2024-10;KARAMA
Stafforshire Bull Terrier;Unregistered Dog;2024-10;MOIL
Dachshund;Dog at Large;2018-07;BRINKIN
Dachshund;Dog at Large;2018-07;BRINKIN
Dachshund;Dog at Large;2018-07;BRINKIN
Kelpie;Dog Attack Level 2;2018-09;COCONUT GROVE
Rhodesian Ridgeback;Dog at Large;2018-09;MALAK
Bullmastiff;Dog at Large;2018-09;KARAMA
Bullmastiff;Unregistered Dog;2018-09;KARAMA
Chihuahua;Fail To Contain Dog;2018-09;MILLNER
Great Dane;Dog at Large;2018-09;MILLNER
Pomeranian;Dog at Large;2018-08;WULAGI
Staffordshire Bull Terrier;Dog at Large;2018-08;LARRAKEYAH
Labrador;Dog at Large;2018-08;BAKEWELL
Beagle;Dog at Large;2018-09;WULAGI
Staffordshire Bull Terrier;Dog at Large;2018-09;LEANYER
Jack Russell Terrier;Dog at Large;2018-10;KARAMA
Staffordshire Bull Terrier;Dog at Large;2018-10;LARRAKEYAH
Staffordshire Bull Terrier;Fail To Contain Dog;2018-10;LARRAKEYAH
Pit Bull Terrier;Dog at Large;2018-10;WAGAMAN
Staffordshire Bull Terrier;Dog at Large;2018-10;THE NARROWS
Bull Arab;Dog at Large;2018-03;LEANYER
Bull Arab;Fail To Contain Dog;2018-03;LEANYER
Staffordshire Bull Terrier;Dog at Large;2018-10;PARAP
Pit Bull Terrier;Dog at Large;2018-10;MOIL
Border Collie;Dog at Large;2018-10;WANGURI
Labrador;Dog at Large;2018-10;WANGURI
Rhodesian Ridgeback;Dog at Large;2018-10;WANGURI
Bullmastiff;Dog at Large;2018-04;RAPID CREEK
Chihuahua;Dog at Large;2018-05;MALAK
Jack Russell Terrier;Dog at Large;2018-05;NAKARA
Jack Russell Terrier;Dog at Large;2018-09;MILLNER
Bull Arab;Fail To Contain Dog;2018-06;LEANYER
Chihuahua;Dog at Large;2018-09;MALAK
Rottweiler;Dog at Large;2018-01;WULAGI
Australian Bulldog;Dog at Large;2018-02;MILLNER
Mixed Breed;Dog at Large;2018-02;COCONUT GROVE
Labrador;Dog at Large;2018-02;JINGILI
Maltese;Fail To Contain Dog;2018-03;WULAGI
Mixed Breed;Dog at Large;2018-10;NIGHTCLIFF
Retriever;Dog at Large;2018-10;THE NARROWS
Husky;Dog at Large;2018-10;KARAMA
Jack Russell Terrier;Fail To Contain Dog;2018-04;KARAMA
Heeler;Dog at Large;2018-01;STUART PARK
Heeler;Dog at Large;2018-06;WANGURI
Labrador;Dog at Large;2018-06;MARRARA
Pit Bull Terrier;Fail To Contain Dog;2018-06;STUART PARK
Mixed Breed;Dog at Large;2018-10;RAPID CREEK
Border Collie;Dog at Large;2018-10;THE GARDENS
Rottweiler;Dog at Large;2018-10;KARAMA
Pit Bull Terrier;Dog at Large;2018-10;STUART PARK
Mixed Breed;Dog at Large;2018-10;MILLNER
Mixed Breed;Dog at Large;2018-10;LYONS
Great Dane;Dog at Large;2018-10;MALAK
Labrador;Dog at Large;2018-09;LEANYER
Bull Arab;Dog at Large;2018-07;GRAY
Pit Bull Terrier;Dog at Large;2018-07;KARAMA
Pit Bull Terrier;Unregistered Dog;2018-07;KARAMA
Wolfhound;Dog at Large;2018-07;ANULA
Mixed Breed;Dog at Large;2018-07;WULAGI
Bullmastiff;Dog at Large;2018-07;MUIRHEAD
Pit Bull Terrier;Dog at Large;2018-07;MOIL
Kelpie;Dog at Large;2018-07;NIGHTCLIFF
Australian Bulldog;Dog at Large;2018-02;MILLNER
Bull Arab;Dog at Large;2018-09;WULAGI
Mixed Breed;Dog at Large;2018-09;KNUCKEY LAGOON
Bullmastiff;Dog at Large;2018-09;MILLNER
Chihuahua;Dog at Large;2018-02;LUDMILLA
Australian Cattle Dog;Dog at Large;2018-03;TIWI
Mixed Breed;Dog at Large;2018-03;STUART PARK
Terrier;Dog at Large;2018-03;MOIL
Mixed Breed;Dog Attack Level 1;2018-01;ROSEBERY
Mixed Breed;Dog at Large;2018-01;ROSEBERY
Staffordshire Bull Terrier;Dog Attack Level 1;2018-03;JINGILI
Rhodesian Ridgeback;Dog at Large;2018-06;NIGHTCLIFF
American Staffordshire Terrier;Dog at Large;2018-06;LYONS
Kelpie;Dog at Large;2018-06;TIWI
Maltese;Unregistered Dog;2018-07;MALAK
Maltese;Dog at Large;2018-07;MALAK
Beagle;Dog at Large;2018-07;KARAMA
Heeler;Dog at Large;2018-07;JINGILI
Kelpie;Dog at Large;2018-07;ALAWA
Bullmastiff;Dog at Large;2018-07;NIGHTCLIFF
Kelpie;Dog at Large;2018-07;BERRIMAH
Pit Bull Terrier;Dog at Large;2018-08;MOIL
Maltese;Dog at Large;2018-07;FANNIE BAY
Kelpie;Dog at Large;2018-07;NIGHTCLIFF
German Shepherd Dog;Fail To Contain Dog;2018-10;COCONUT GROVE
Staffordshire Bull Terrier;Dog at Large;2018-09;MUIRHEAD
Maltese;Dog at Large;2018-05;ALAWA
Bullmastiff;Dog Attack Level 1;2018-04;KARAMA
Bull Terrier;Dog at Large;2018-03;NAKARA
Jack Russell Terrier;Dog at Large;2018-01;ANULA
Bull Arab;Dog Attack Level 2;2018-01;MILLNER
Mixed Breed;Dog at Large;2018-10;ANULA
Mixed Breed;Fail To Contain Dog;2018-10;TIWI
Mixed Breed;Dog Attack Level 2;2018-10;TIWI
Irish Wolfhound;Dog at Large;2019-03;WANGURI
Red Heeler;Dog at Large;2019-03;ANULA
German Shepherd Dog;Fail To Contain Dog;2018-11;COCONUT GROVE
Bullmastiff;Dog at Large;2018-11;TIWI
Bull Arab;Dog at Large;2018-12;NAKARA
Labrador;Fail To Contain Dog;2019-02;MARRARA
Weimaraner;Dog at Large;2019-02;MALAK
Staffordshire Bull Terrier;Dog at Large;2019-02;MOIL
Mixed Breed;Dog at Large;2019-03;MALAK
Great Dane;Dog at Large;2018-03;KARAMA
Staffordshire Bull Terrier;Fail To Contain Dog;2018-02;FANNIE BAY
Great Dane;Dog at Large;2018-08;MALAK
Bullmastiff;Dog at Large;2019-02;PARAP
Rhodesian Ridgeback;Dog at Large;2019-02;WAGAMAN
Jack Russell Terrier;Dog at Large;2019-01;STUART PARK
Rhodesian Ridgeback;Dog at Large;2019-01;MILLNER
Staffordshire Bull Terrier;Fail To Contain Dog;2019-01;KARAMA
Mixed Breed;Dog at Large;2019-01;RAPID CREEK
Mixed Breed;Dog at Large;2019-04;TIWI
Mixed Breed;Unregistered Dog;2019-04;TIWI
Bullmastiff;Dog Attack Level 2;2019-03;ALAWA
Kelpie;Dog at Large;2019-02;NIGHTCLIFF
Bull Arab;Dog at Large;2019-02;ANULA
Shar Pei;Dog at Large;2019-02;LUDMILLA
Mixed Breed;Dog at Large;2019-03;LUDMILLA
Pit Bull Terrier;Dog at Large;2019-03;KARAMA
Husky;Dog at Large;2019-03;KARAMA
Bull Arab;Dog at Large;2019-03;LEANYER
Bull Arab;Dog at Large;2019-04;MALAK
Australian Bulldog;Fail To Contain Dog;2019-04;RAPID CREEK
Red Heeler;Unregistered Dog;2019-09;LUDMILLA
Staffordshire Bull Terrier;Dog at Large;2019-04;ZUCCOLLI
Bull Arab;Abandon Dog;2019-04;LEANYER
Mixed Breed;Abandon Dog;2019-04;LEANYER
Mixed Breed;Dog at Large;2019-04;MILLNER
Mixed Breed;Dog at Large;2019-04;RAPID CREEK
Bull Arab;Dog at Large;2019-05;PARAP
Mixed Breed;Abandon Dog;2019-05;ANULA
Staffordshire Bull Terrier;Dog at Large;2018-11;KARAMA
Blue Heeler;Dog at Large;2018-11;MALAK
Bull Arab;Dog at Large;2019-05;PARAP
Bull Arab;Fail To Contain Dog;2019-05;COCONUT GROVE
Pointer;Dog at Large;2019-05;MARRARA
Beagle;Dog at Large;2018-11;MALAK
Bullmastiff;Dog at Large;2018-11;KARAMA
Mixed Breed;Dog at Large;2019-06;LEANYER
Shih Tzu;Dog at Large;2019-06;ANULA
Mixed Breed;Dog at Large;2019-06;MALAK
Staffordshire Bull Terrier;Dog at Large;2019-06;MALAK
Mixed Breed;Dog at Large;2019-06;TIWI
Shih Tzu;Fail To Contain Dog;2018-11;TIWI
Australian Bulldog;Dog at Large;2018-11;WINNELLIE
Shih Tzu;Dog at Large;2018-11;NIGHTCLIFF
Scottish Terrier;Dog at Large;2019-06;KARAMA
Bull Arab;Dog at Large;2019-06;ANULA
Staffordshire Bull Terrier;Dog at Large;2019-07;MOIL
Boxer;Dog at Large;2019-07;LEANYER
Bull Arab;Dog at Large;2019-07;LYONS
Australian Terrier;Dog at Large;2019-07;BRINKIN
Staffordshire Bull Terrier;Fail To Contain Dog;2019-07;STUART PARK
Shih Tzu;Dog at Large;2019-07;KARAMA
Bull Arab;Dog at Large;2019-07;ANULA
Shar Pei;Dog at Large;2019-08;MILLNER
Airedale Terrier;Dog at Large;2019-08;ALAWA
Wolfhound;Dog at Large;2019-01;NAKARA
Rottweiler;Unregistered Dog;2019-04;WAGAMAN
Great Dane;Dog Attack Level 2;2019-04;LEANYER
Great Dane;Dog Attack Level 2;2019-03;MALAK
Pit Bull Terrier;Dog at Large;2019-11;MALAK
Bull Arab;Dog at Large;2020-01;NAKARA
Jack Russell Terrier;Fail To Contain Dog;2018-11;TIWI
Shar Pei;Unregistered Dog;2019-02;MUIRHEAD
Bull Arab;Unregistered Dog;2019-05;ANULA
Pointer;Dog at Large;2019-05;WULAGI
Pit Bull Terrier;Fail To Contain Dog;2019-06;KARAMA
Pit Bull Terrier;Unregistered Dog;2019-05;ANULA
Kelpie;Unregistered Dog;2019-05;LEANYER
Rottweiler;Unregistered Dog;2019-09;MALAK
Pit Bull Terrier;Unregistered Dog;2019-09;MALAK
English Pointer;Unregistered Dog;2019-09;LEANYER
Blue Heeler;Unregistered Dog;2019-10;NIGHTCLIFF
Jack Russell Terrier;Unregistered Dog;2019-10;NIGHTCLIFF
Australian Cattle Dog;Dog Attack Level 1;2020-01;ANULA
Swiss Shepherd;Dog Cause Nuisance;2020-01;RAPID CREEK
Spoodle;Dog at Large;2020-02;WANGURI
Wolfhound;Dog at Large;2019-02;MILLNER
Wolfhound;Dog Attack Level 2;2019-06;MILLNER
Labrador;Dog at Large;2019-06;DARWIN
Shar Pei;Dog Attack Level 2;2019-06;NAKARA
Mixed Breed;Dog Attack Level 1;2019-09;MALAK
Mixed Breed;Dog at Large;2018-12;TIWI
Bull Arab;Dog Attack Level 2;2019-02;MALAK
Blue Heeler;Dog at Large;2019-03;WULAGI
Shar Pei;Fail To Contain Dog;2019-03;WANGURI
Dingo;Dog at Large;2019-04;KARAMA
Dingo;Dog at Large;2019-04;PARAP
Bull Arab;Unregistered Dog;2019-04;LEANYER
Mixed Breed;Fail To Contain Dog;2019-04;LEANYER
Shih Tzu;Dog at Large;2019-04;LEANYER
Border Collie;Dog at Large;2019-04;ANULA
Cavalier King Charles Spaniel;Dog at Large;2019-05;STUART PARK
Mixed Breed;Dog at Large;2019-05;RAPID CREEK
Staffordshire Bull Terrier;Dog at Large;2019-05;MILLNER
Shih Tzu;Dog at Large;2019-05;RAPID CREEK
Pinscher (Miniature);Dog at Large;2019-05;STUART PARK
Staffordshire Bull Terrier;Dog at Large;2019-05;NIGHTCLIFF
Great Dane;Dog at Large;2018-11;NIGHTCLIFF
Tibetan Spaniel;Dog at Large;2018-11;NIGHTCLIFF
Jack Russell Terrier;Dog at Large;2019-05;KARAMA
Bullmastiff;Fail To Contain Dog;2019-05;PARAP
Kelpie;Dog at Large;2019-05;MARRARA
Staffordshire Bull Terrier;Dog at Large;2019-06;STUART PARK
Shar Pei;Fail To Contain Dog;2019-06;MILLNER
Terrier;Dog at Large;2019-06;FANNIE BAY
Staffordshire Bull Terrier;Dog Attack Level 2;2019-04;TIWI
Pit Bull Terrier;Dog Attack Level 1;2019-04;ALAWA
Staffordshire Bull Terrier;Fail To Comply - Conditions Registration;2019-04;WANGURI
Weimaraner;Fail To Comply - Conditions Registration;2019-04;THE GARDENS
Bulldog;Dog Attack Level 1;2019-04;LEANYER
Maltese;Dog Attack Level 1;2019-08;DARWIN
Mixed Breed;Unregistered Dog;2019-08;MALAK
Blue Heeler;Fail To Contain Dog;2019-09;ANULA
Pit Bull Terrier;Dog Attack Level 1;2019-02;LEANYER
Staffordshire Bull Terrier;Unregistered Dog;2019-03;WANGURI
Kelpie;Dog Attack Level 1;2019-03;MALAK
Shar Pei;Dog at Large;2019-08;ALAWA
Shar Pei;Fail To Contain Dog;2019-08;MILLNER
Rottweiler;Dog at Large;2019-08;KARAMA
Mixed Breed;Dog at Large;2019-06;KARAMA
Pit Bull Terrier;Fail To Contain Dog;2019-07;MALAK
Bull Arab;Fail To Contain Dog;2019-08;NAKARA
Bull Arab;Fail To Contain Dog;2019-08;ANULA
Shar Pei;Unregistered Dog;2019-09;KARAMA
Bull Arab;Unregistered Dog;2019-09;KARAMA
Great Dane;Dog Attack Level 1;2019-09;DARWIN
Mixed Breed;Unregistered Dog;2019-09;LEANYER
Bull Arab;Unregistered Dog;2019-09;MALAK
Pit Bull Terrier;Unregistered Dog;2019-09;MALAK
American Pit Bull Terrier;Fail To Contain Dog;2019-10;FANNIE BAY
Blue Heeler;Fail To Contain Dog;2019-10;JINGILI
Pit Bull Terrier;Dog Attack Level 2;2019-11;KARAMA
Irish Wolfhound;Fail To Contain Dog;2019-11;LYONS
Mixed Breed;Fail To Contain Dog;2020-06;WULAGI
American Staffordshire Terrier;Dog at Large;2020-06;ANULA
Mixed Breed;Dog at Large;2020-07;WULAGI
Staffordshire Bull Terrier;Dog at Large;2019-09;MALAK
Bull Arab;Dog at Large;2019-09;MALAK
Blue Heeler;Dog at Large;2019-09;MALAK
American Staffordshire Terrier;Dog at Large;2019-10;ANULA
Shar Pei;Dog at Large;2019-10;MALAK
American Staffordshire Terrier;Dog at Large;2019-10;JINGILI
Wolfhound;Dog at Large;2019-10;WANGURI
Mixed Breed;Unregistered Dog;2019-09;KARAMA
Bull Arab;Dog at Large;2019-12;ANULA
Bullmastiff;Unregistered Dog;2020-01;ANULA
Bull Arab;Dog at Large;2020-01;ANULA
Kelpie;Dog at Large;2020-01;KARAMA
Shar Pei;Dog at Large;2020-05;TIWI
Jack Russell Terrier;Unregistered Dog;2020-05;MALAK
Mixed Breed;Dog at Large;2020-05;WULAGI
Mixed Breed;Fail To Contain Dog;2020-05;WULAGI
American Staffordshire Terrier;Fail To Contain Dog;2020-06;LEANYER
Pit Bull Terrier;Dog Attack Level 1;2020-07;ANULA
Mixed Breed;Dog Attack Level 1;2020-07;ALAWA
Pit Bull Terrier;Dog Attack Level 1;2020-07;NT  0000_x000D_
Staffordshire Bull Terrier;Dog at Large;2020-07;MALAK
Bullmastiff;Dog at Large;2020-09;PARAP
Kelpie;Fail To Contain Dog;2020-10;WAGAMAN
Labrador;Fail To Contain Dog;2020-11;LYONS
Border Collie;Dog Attack Level 2;2021-02;NAKARA
Mixed Breed;Dog Attack Level 1;2021-05;RAPID CREEK
Kelpie;Dog Attack Level 1;2021-06;STUART PARK
Blue Heeler;Dog at Large;2021-06;WAGAMAN
Mixed Breed;Dog Attack Level 1;2021-09;ALAWA
Bull Arab;Dog Attack Level 2;2022-02;STUART PARK
Staffordshire Bull Terrier;Dog Attack Level 1;2022-07;WULAGI
Shar Pei;Dog Attack Level 1;2022-10;MALAK
Staffordshire Bull Terrier;Dog at Large;2021-09;NT  0000
Irish Wolfhound;Dog at Large;2021-11;NT  0000
Mixed Breed;Dog at Large;2022-04;JINGILI
Bullmastiff;Unregistered Dog;2022-06;ALAWA
Maltese;Dog at Large;2022-06;KARAMA
Dobermann;Dog Attack Level 2;2021-10;NIGHTCLIFF
Blue Heeler;Dog Attack Level 1;2022-02;MALAK
Jack Russell Terrier;Dog Attack Level 1;2022-02;NIGHTCLIFF
Mixed Breed;Dog Attack Level 1;2022-03;ANULA
Mixed Breed;Unregistered Dog;2021-09;ALAWA
Staffordshire Bull Terrier;Unregistered Dog;2022-01;LUDMILLA
Mixed Breed;Dog Attack Level 2;2022-08;KARAMA
Mixed Breed;Dog Attack Level 1;2022-08;MALAK
Wolfhound;Dog at Large;2023-02;STUART PARK
Mixed Breed;Unregistered Dog;2023-03;KARAMA
Husky;Dog Cause Nuisance;2023-03;RAAF BASE
Dingo;Dog Attack Level 1;2023-06;COCONUT GROVE
Dingo;Dog at Large;2023-06;COCONUT GROVE
Mixed Breed;Dog Cause Nuisance;2022-07;LYONS
Mixed Breed;Dog Cause Nuisance;2022-07;NT  0000
Cross Breed;Dog at Large;2021-09;FANNIE BAY
Bullmastiff;Dog at Large;2021-04;KARAMA
Bullmastiff;Dog at Large;2021-03;KARAMA
Pit Bull Terrier;Dog Attack Level 2;2021-01;MOIL
Pit Bull Terrier;Dog at Large;2021-01;MALAK
Kelpie;Dog Attack Level 1;2021-09;JINGILI
German Shepherd Dog;Dog Attack Level 1;2021-09;MARRARA
Shar Pei;Dog Attack Level 1;2021-09;LEANYER
Border Collie;Dog at Large;2021-06;BAYVIEW
Bull Arab;Dog at Large;2021-05;COCONUT GROVE
Pit Bull Terrier;Dog Attack Level 1;2021-05;ANULA
Pit Bull Terrier;Unregistered Dog;2022-04;JINGILI
German Shepherd Dog;Unregistered Dog;2022-03;TIWI
Mixed Breed;Fail To Contain Dog;2022-03;RAPID CREEK
Mixed Breed;Fail To Contain Dog;2022-03;NT  0000
Mixed Breed;Dog at Large;2021-02;MUIRHEAD
German Shepherd Dog;Dog Cause Nuisance;2021-02;WULAGI
Border Collie;Dog Attack Level 2;2021-11;STUART PARK
Staffordshire Bull Terrier;Dog Attack Level 1;2021-07;LEANYER
Pit Bull Terrier;Unregistered Dog;2021-07;MALAK
Bull Arab;Unregistered Dog;2021-07;ANULA
Australian Cattle Dog;Dog at Large;2021-05;RAPID CREEK
English Staffordshire Bull Terrier;Unregistered Dog;2021-04;MILLNER
Blue Heeler;Dog Attack Level 2;2021-03;FANNIE BAY
Bull Arab;Fail To Contain Dog;2021-02;FANNIE BAY
Red Heeler;Fail To Contain Dog;2020-10;WAGAMAN
Cross Breed;Dog at Large;2022-09;MALAK
Mixed Breed;Unregistered Dog;2021-07;RAPID CREEK
Jack Russell Terrier;Dog Attack Level 1;2022-01;COCONUT GROVE
Mixed Breed;Dog Attack Level 2;2022-02;RAPID CREEK
Staffordshire Bull Terrier;Dog Attack Level 1;2022-03;MOIL
Great Dane;Unregistered Dog;2023-01;KARAMA
Great Dane;No Licence to Keep Dogs as Required;2023-01;KARAMA
Maltese;Unregistered Dog;2023-02;TIWI
Labrador;Dog at Large;2023-02;MOIL
Mixed Breed;Dog at Large;2023-02;KARAMA
Labrador;Dog at Large;2022-06;LUDMILLA
American Staffordshire Terrier;Dog at Large;2022-06;LUDMILLA
Dingo;Fail To Contain Dog;2023-02;COCONUT GROVE
Wolfhound;Unregistered Dog;2022-12;WAGAMAN
Cross Breed;Unregistered Dog;2023-02;STUART PARK
German Shepherd Dog;Unregistered Dog;2023-02;COCONUT GROVE
Maltese;Unregistered Dog;2023-02;COCONUT GROVE
Mixed Breed;Unregistered Dog;2023-02;COCONUT GROVE
Mixed Breed;Unregistered Dog;2023-03;JINGILI
Pit Bull Terrier;Unregistered Dog;2023-03;WAGAMAN
Corgi;Unregistered Dog;2023-05;WANGURI
Mixed Breed;Unregistered Dog;2023-05;JINGILI
Pointer;Dog at Large;2023-07;LEANYER
Pointer;Unregistered Dog;2023-07;LEANYER
Mixed Breed;Dog at Large;2023-08;MALAK
Chihuahua;Unregistered Dog;2023-08;MALAK
Bullmastiff;No Licence to Keep Dogs as Required;2023-08;JINGILI
Pit Bull Terrier;Dog at Large;2023-09;ANULA
Mixed Breed;Dog at Large;2023-09;MALAK
Mixed Breed;Fail To Contain Dog;2023-10;ANULA
Pit Bull Terrier;Unregistered Dog;2023-10;ANULA
Pit Bull Terrier;Dog at Large;2023-10;ANULA
Pit Bull Terrier;Dog Attack Level 1;2023-10;ANULA
Dingo;Dog at Large;2022-12;COCONUT GROVE
American Pit Bull Terrier;Fail To Comply - Conditions Registration;2022-11;MALAK
Staffordshire Bull Terrier;Fail To Comply - Conditions Registration;2022-11;JINGILI
Staffordshire Bull Terrier;Unregistered Dog;2022-11;JINGILI
Staffordshire Bull Terrier;Unregistered Dog;2022-11;WANGURI
Staffordshire Bull Terrier;Fail To Comply - Conditions Registration;2022-11;WANGURI
American Pit Bull Terrier;Unregistered Dog;2022-11;MILLNER
Chihuahua;Fail To Contain Dog;2025-11;NAKARA
Shar Pei;Fail To Contain Dog;2025-11;NAKARA
Bull Arab;Dog Attack - Aggravated;2025-09;MUIRHEAD
Dobermann;Dog Not Under Effective Control;2025-06;JINGILI
Great Dane;Fail To Contain Dog;2025-06;MALAK
Pit Bull Terrier;Unregistered Dog;2025-03;KARAMA
Shar Pei;Fail To Contain Dog;2025-01;KARAMA
Australian Cattle Dog;Fail To Contain Dog;2025-01;KARAMA
Rottweiler;Fail To Contain Dog;2025-01;NT  0000
Bull Terrier;Fail To Contain Dog;2025-08;NIGHTCLIFF
French Bulldog;Fail To Contain Dog;2025-01;FANNIE BAY
Pit Bull Terrier;Fail To Contain Dog;2025-01;FANNIE BAY
Staffordshire Bull Terrier;Fail To Contain Dog;2025-01;WANGURI
Chihuahua;Fail To Contain Dog;2025-01;MALAK
Husky;Fail To Contain Dog;2025-01;BERRIMAH
Chihuahua;Fail To Contain Dog;2024-12;WULAGI
Bullmastiff;Fail To Contain Dog;2024-12;KARAMA
Terrier;Dog Attack - Contact;2025-03;NT  0000
Staffordshire Bull Terrier;Fail To Contain Dog;2025-01;MALAK
Irish Wolfhound;Fail To Contain Dog;2025-01;LARRAKEYAH
Irish Wolfhound;Dog Attack - Contact;2025-01;LARRAKEYAH
Pinscher;Fail To Contain Dog;2024-12;WANGURI
Rottweiler;Fail To Contain Dog;2025-06;NAKARA
Shar Pei;Fail To Comply Conditions Dangerous Dog;2025-08;WULAGI
English Staffordshire Bull Terrier;Fail To Comply Conditions Dangerous Dog;2025-08;JINGILI
German Shepherd Dog;Dog Attack - Serious;2025-10;MOIL
Great Dane;Fail To Comply Conditions Dangerous Dog;2025-08;MALAK
Bullmastiff;Fail To Contain Dog;2025-04;JINGILI
Pit Bull Terrier;Unregistered Dog;2025-04;MOIL
Staffordshire Bull Terrier;Fail To Contain Dog;2024-12;MILLNER
Cross Breed;Unregistered Dog;2025-04;NAKARA
Cane Corso;Fail To Contain Dog;2025-09;MARRARA
Staffordshire Bull Terrier;Fail To Contain Dog;2025-08;MOIL
Cross Breed;Dog Menace;2025-08;WULAGI
Pointer;Fail To Contain Dog;2025-06;PARAP
Pointer;Unregistered Dog;2025-06;PARAP
English Staffordshire Bull Terrier;Fail To Comply Conditions  Registration;2025-03;JINGILI
Shar Pei;Unregistered Dog;2025-03;WULAGI
Great Dane;Unregistered Dog;2025-03;KARAMA
Staffordshire Bull Terrier;Unregistered Dog;2025-03;WANGURI
Shar Pei;Unregistered Dog;2025-03;KARAMA
Heeler;Unregistered Dog;2024-11;LUDMILLA
Heeler;Unregistered Dog;2025-01;ALAWA
Maltese;Unregistered Dog;2025-01;ALAWA
Shar Pei;Unregistered Dog;2025-01;KARAMA
Pit Bull Terrier;Fail To Contain Dog;2025-05;WULAGI
Staffordshire Bull Terrier;Unregistered Dog;2024-11;MALAK
Bullmastiff;Fail To Contain Dog;2024-12;KARAMA
Wolfhound;Unregistered Dog;2025-01;COCONUT GROVE
Chihuahua;Fail To Contain Dog;2024-11;MALAK
American Staffordshire Terrier;Fail To Contain Dog;2025-02;BRINKIN
Border Collie;Dog Not Under Effective Control;2025-02;MOIL
Border Collie;Dog Attack - Serious;2025-02;MOIL
Kelpie;Dog Menace;2025-02;FANNIE BAY
Maltese;Unregistered Dog;2025-07;WANGURI
Cavalier King Charles Spaniel;Fail To Contain Dog;2025-04;STUART PARK
American Staffordshire Terrier;Dog Attack - Serious;2025-05;STUART PARK
Maremma;Dog Not Under Effective Control;2025-05;PARAP
Staffordshire Bull Terrier;Unregistered Dog;2025-03;LEANYER
Jack Russell Terrier;Fail To Contain Dog;2025-11;NT  0000_x000D_
Unknown;Fail To Contain Dog;2025-11;KARAMA
Blue Heeler;Fail To Contain Dog;2025-10;NT  0000_x000D_
Bull Arab;Fail To Contain Dog;2025-09;LYONS
American Staffordshire Terrier;Fail To Contain Dog;2025-06;WULAGI
Shar Pei;Unregistered Dog;2025-07;KARAMA
Jack Russell Terrier;Fail To Contain Dog;2025-10;RAPID CREEK
Catahoula;Dog Not Under Effective Control;2025-11;NIGHTCLIFF
Pointer;Fail To Contain Dog;2025-11;WULAGI
Staffordshire Bull Terrier;Fail To Contain Dog;2025-12;LARRAKEYAH
Blue Heeler;Fail To Contain Dog;2025-11;RAPID CREEK
Rottweiler;Fail To Contain Dog;2025-07;RAPID CREEK
Bull Arab;Fail To Contain Dog;2025-07;BRINKIN
Catahoula;Fail To Contain Dog;2025-11;MOIL
Cross Breed;Fail To Contain Dog;2025-11;LUDMILLA
Jack Russell Terrier;Fail To Contain Dog;2025-12;THE NARROWS
Bullmastiff;Unregistered Dog;2024-03;WAGAMAN
Car;Dog at Large - No ID Device;2024-01;BAKEWELL
Cross Breed;Unregistered Dog;2024-02;MALAK
Cross Breed;Unregistered Dog;2024-02;MALAK
Cross Breed;Unregistered Dog;2024-02;MALAK
Bull Arab;Unregistered Dog;2024-02;PARAP
Bull Arab;Unregistered Dog;2024-03;FANNIE BAY
Cross Breed;Unregistered Dog;2024-03;MALAK
Cross Breed;Fail To Comply Conditions Dangerous Dog;2024-04;ANULA
Cross Breed;Unregistered Dog;2024-04;ALAWA
Stafforshire Bull Terrier;Fail To Contain Dog;2024-04;MOIL
American Pit Bull Terrier;Fail To Contain Dog;2024-04;KARAMA
Cross Breed;Fail To Contain Dog;2024-04;WULAGI
Bull Terrier Cross;Unregistered Dog;2024-05;KARAMA
Bull Arab;Fail To Contain Dog;2024-06;NAKARA
Cross Breed;Fail To Contain Dog;2024-06;WULAGI
American Pit Bull Terrier;Fail To Contain Dog;2024-06;FANNIE BAY
Australian Cattle Dog;Fail To Contain Dog;2024-06;KARAMA
Cross Breed;Dog Menace;2024-07;JINGILI
Cross Breed;Fail To Contain Dog;2024-07;BRINKIN
Bull Arab Cross;Fail To Contain Dog;2024-07;NAKARA
Cross Breed;Unregistered Dog;2024-08;LEANYER
Cross Breed;Fail To Contain Dog;2024-09;LEANYER
Mastiff;Fail To Contain Dog;2023-11;KARAMA
Stafforshire Bull Terrier;Fail To Contain Dog;2023-12;MOIL
Car;Dog at Large - No ID Device;2023-12;DRIVER
Stafforshire Bull Terrier;Dog Attack - Serious;2024-02;BAYVIEW
Cross Breed;Fail To Contain Dog;2024-02;WULAGI
Stafforshire Bull Terrier;Dog Attack - Serious;2024-02;BAYVIEW
Cross Breed;Fail To Contain Dog;2024-03;TIWI
Bull Arab;Dog Menace;2024-03;FANNIE BAY
Bull Arab;Dog Menace;2024-03;PARAP
Cross Breed;Unregistered Dog;2024-03;KARAMA
American Pit Bull Terrier;Fail To Contain Dog;2024-03;MALAK
American Pit Bull Terrier;Fail To Comply Conditions Dangerous Dog;2024-04;ANULA
Australian Cattle Dog;Fail To Contain Dog;2024-04;ALAWA
Bull Arab;Fail To Contain Dog;2024-04;ALAWA
Bull Terrier;Unregistered Dog;2024-05;KARAMA
American Staffordshire Terrier Cross;Unregistered Dog;2024-05;KARAMA
American Staffordshire Terrier Cross;Unregistered Dog;2024-05;KARAMA
Cross Breed;Fail To Comply Conditions  Registration;2024-05;STUART PARK
