animal_breed;offence;infringment_date;suburb_name
Great Dane;Fail To Contain Dog;2019-03;MALAK
Pit Bull Terrier;Fail To Contain Dog;2019-03;LEE POINT
Staffordshire Bull Terrier;Dog at Large;2019-03;FANNIE BAY
Pit Bull Terrier;Abandon Dog;2019-03;KARAMA
Staffordshire Bull Terrier;Dog at Large;2019-03;KARAMA
Chihuahua;Dog at Large;2019-03;WAGAMAN
Stumpy Tail Cattle Dog;Unregistered Dog;2019-09;LUDMILLA
Bull Arab;Dog at Large;2019-04;LEANYER
Rottweiler;Dog at Large;2019-04;KARAMA
Fox Terrier;Dog at Large;2019-04;ANULA
Maltese;Dog at Large;2018-11;RAPID CREEK
Bullmastiff;Dog at Large;2019-05;KARAMA
Chihuahua;Dog at Large;2019-05;STUART PARK
Bull Arab;Dog at Large;2019-05;MALAK
Border Collie;Dog at Large;2019-05;ANULA
Bull Arab;Fail To Contain Dog;2019-05;ANULA
Mixed Breed;Dog at Large;2019-05;LEANYER
Mixed Breed;Dog at Large;2019-05;RAPID CREEK
Labrador;Dog at Large;2018-11;PARAP
Staffordshire Bull Terrier;Dog at Large;2019-06;RAAF BASE
Staffordshire Bull Terrier;Dog at Large;2018-11;JINGILI
Schnauzer (Standard);Dog at Large;2019-06;KARAMA
Pit Bull Terrier;Dog at Large;2019-06;KARAMA
Shih Tzu;Dog at Large;2019-06;LEANYER
Chihuahua;Fail To Contain Dog;2019-07;MILLNER
Labrador;Dog at Large;2019-07;LEANYER
Bull Arab;Dog at Large;2019-07;ANULA
Rhodesian Ridgeback;Dog at Large;2019-07;LEANYER
Labrador;Dog at Large;2019-07;BRINKIN
American Staffordshire Terrier;Dog at Large;2019-07;COCONUT GROVE
Mixed Breed;Dog at Large;2019-07;WULAGI
Maltese;Dog at Large;2019-07;KARAMA
Mixed Breed;Fail To Contain Dog;2018-10;BRINKIN
Pit Bull Terrier;Dog Attack Level 2;2018-10;KARAMA
Shar Pei;Dog Attack Level 2;2018-12;KARAMA
Bull Arab;Dog at Large;2019-03;STUART PARK
Bull Terrier;Dog at Large;2019-04;LEANYER
American Staffordshire Terrier;Dog at Large;2019-03;STUART PARK
Red Heeler;Dog Attack Level 1;2019-03;BERRIMAH
Bull Arab;Dog at Large;2020-03;MILLNER
Bull Arab;Dog at Large;2020-05;LEANYER
Great Dane;Dog at Large;2019-05;LEANYER
Mixed Breed;Unregistered Dog;2019-02;ANULA
Pointer;Fail To Contain Dog;2019-03;STUART PARK
Mixed Breed;Unregistered Dog;2019-04;LEANYER
Staffordshire Bull Terrier;Dog Attack Level 1;2019-05;JINGILI
American Staffordshire Terrier;Dog Attack Level 1;2019-05;LEANYER
Pit Bull Terrier;Dog Attack Level 2;2019-05;MILLNER
Bull Terrier;Unregistered Dog;2019-05;TIWI
American Pit Bull Terrier;Dog Attack Level 1;2019-06;NAKARA
Staffordshire Bull Terrier;Dog Attack Level 2;2019-06;MILLNER
English Mastiff;Unregistered Dog;2019-05;ANULA
Blue Heeler;Dog at Large;2019-09;NIGHTCLIFF
Mixed Breed;Unregistered Dog;2019-09;STUART PARK
