lga;census_year;state;sub_category;both_parents_born_overseas;father_only_born_overseas;mother_only_born_overseas;both_parents_born_in_australia;birthplace_not_stated_b;total_responses_c;category
Darwin (C);2016;Northern Territory;Other(d);8883.0;556.0;700.0;946.0;143.0;11228.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Australian;894.0;2300.0;2386.0;13727.0;139.0;19447.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;New Zealander;280.0;116.0;75.0;44.0;3.0;506.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Sinhalese;82.0;0.0;0.0;0.0;0.0;82.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Indian;1250.0;33.0;45.0;37.0;22.0;1387.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Chinese;3435.0;164.0;205.0;479.0;37.0;4319.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Indian;2892.0;57.0;34.0;34.0;9.0;3022.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Korean;217.0;0.0;25.0;5.0;0.0;251.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Maltese;51.0;27.0;10.0;38.0;6.0;132.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Turkish;28.0;6.0;0.0;3.0;0.0;37.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Russian;60.0;20.0;14.0;39.0;3.0;136.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Maori;309.0;62.0;43.0;44.0;5.0;454.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Vietnamese;610.0;12.0;32.0;12.0;7.0;671.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Lebanese;48.0;7.0;11.0;31.0;3.0;99.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Other(d);12606.0;754.0;961.0;1969.0;114.0;16408.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;American;114.0;52.0;39.0;19.0;5.0;229.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Chinese;1986.0;155.0;176.0;492.0;85.0;2894.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Macedonian;17.0;0.0;0.0;0.0;0.0;17.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;New Zealander;415.0;122.0;113.0;28.0;18.0;696.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Spanish;183.0;19.0;11.0;51.0;7.0;271.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Macedonian;20.0;0.0;3.0;6.0;0.0;38.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Hungarian;113.0;31.0;4.0;19.0;0.0;167.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Sinhalese;203.0;12.0;8.0;13.0;5.0;241.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Dutch;381.0;169.0;119.0;342.0;3.0;1003.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Serbian;51.0;9.0;0.0;8.0;0.0;71.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Irish;1698.0;549.0;419.0;4943.0;82.0;7690.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Italian;735.0;259.0;130.0;789.0;27.0;1935.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Croatian;67.0;30.0;7.0;32.0;0.0;136.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Indian;538.0;29.0;30.0;20.0;17.0;634.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;Maori;236.0;49.0;37.0;29.0;11.0;362.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;New Zealander;430.0;116.0;112.0;36.0;24.0;718.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;English;5108.0;1837.0;1599.0;11893.0;271.0;20699.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Indian;2530.0;30.0;38.0;43.0;22.0;2665.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Polish;197.0;28.0;29.0;121.0;4.0;376.0;BY COUNTRY OF BIRTH OF PARENTS
