suburb;census_year;state;sub_category;both_parents_born_overseas;father_only_born_overseas;mother_only_born_overseas;both_parents_born_in_australia;birthplace_not_stated_b;total_responses_c;abs_lga
Malak;2006;Northern Territory;Australian;37.0;114.0;119.0;978.0;56.0;1304.0;Darwin
Moil;2006;Northern Territory;South African;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Nakara;2006;Northern Territory;Hungarian;5.0;0.0;0.0;0.0;0.0;5.0;Darwin
Alawa;2016;Northern Territory;Hungarian;4.0;0.0;0.0;0.0;0.0;7.0;Darwin
Alawa;2016;Northern Territory;New Zealander;6.0;0.0;3.0;3.0;0.0;13.0;Darwin
Alawa;2016;Northern Territory;Vietnamese;15.0;0.0;3.0;0.0;0.0;23.0;Darwin
Anula;2016;Northern Territory;Hungarian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Bayview (NT);2016;Northern Territory;Spanish;4.0;0.0;0.0;4.0;0.0;12.0;Darwin
Casuarina (NT);2016;Northern Territory;Chinese;34.0;0.0;0.0;0.0;0.0;34.0;Darwin
Casuarina (NT);2016;Northern Territory;Other(d);64.0;0.0;0.0;6.0;3.0;68.0;Darwin
Coconut Grove;2016;Northern Territory;Greek;44.0;13.0;3.0;15.0;3.0;82.0;Darwin
Coonawarra (NT);2016;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Eaton (NT);2016;Northern Territory;English;16.0;9.0;15.0;60.0;0.0;95.0;Darwin
Fannie Bay;2016;Northern Territory;Italian;54.0;17.0;4.0;60.0;3.0;138.0;Darwin
Fannie Bay;2016;Northern Territory;Maltese;4.0;0.0;0.0;6.0;0.0;13.0;Darwin
Jingili;2016;Northern Territory;German;24.0;9.0;9.0;38.0;0.0;79.0;Darwin
Jingili;2016;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Karama;2016;Northern Territory;Chinese;273.0;3.0;3.0;27.0;0.0;315.0;Darwin
Karama;2016;Northern Territory;Irish;41.0;30.0;33.0;236.0;4.0;339.0;Darwin
Leanyer;2016;Northern Territory;Other(d);499.0;50.0;50.0;44.0;10.0;652.0;Darwin
Lee Point;2016;Northern Territory;Croatian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Lee Point;2016;Northern Territory;German;0.0;0.0;0.0;3.0;0.0;4.0;Darwin
Ludmilla;2016;Northern Territory;Croatian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Lyons (NT);2016;Northern Territory;Irish;39.0;15.0;17.0;123.0;0.0;195.0;Darwin
Lyons (NT);2016;Northern Territory;Maltese;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
Millner;2016;Northern Territory;Croatian;0.0;3.0;0.0;0.0;0.0;3.0;Darwin
Millner;2016;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Millner;2016;Northern Territory;Maori;4.0;3.0;0.0;0.0;0.0;8.0;Darwin
Muirhead;2016;Northern Territory;South African;9.0;0.0;0.0;3.0;0.0;15.0;Darwin
Muirhead;2016;Northern Territory;Ancestry not stated;9.0;3.0;0.0;11.0;119.0;146.0;Darwin
Nightcliff;2016;Northern Territory;New Zealander;19.0;3.0;3.0;3.0;0.0;29.0;Darwin
Nightcliff;2016;Northern Territory;Russian;13.0;0.0;0.0;4.0;0.0;16.0;Darwin
Nightcliff;2016;Northern Territory;Turkish;3.0;0.0;0.0;0.0;0.0;7.0;Darwin
Parap;2016;Northern Territory;Indian;75.0;0.0;3.0;3.0;0.0;78.0;Darwin
Stuart Park;2016;Northern Territory;Irish;150.0;38.0;27.0;306.0;10.0;524.0;Darwin
Stuart Park;2016;Northern Territory;Serbian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
The Gardens (NT);2016;Northern Territory;Filipino;8.0;0.0;0.0;0.0;0.0;16.0;Darwin
The Gardens (NT);2016;Northern Territory;Hungarian;3.0;0.0;0.0;0.0;0.0;6.0;Darwin
Wanguri;2016;Northern Territory;Korean;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wanguri;2016;Northern Territory;Spanish;3.0;0.0;3.0;0.0;0.0;12.0;Darwin
Winnellie;2016;Northern Territory;Filipino;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Winnellie;2016;Northern Territory;New Zealander;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wulagi;2016;Northern Territory;Australian Aboriginal;0.0;3.0;0.0;30.0;0.0;32.0;Darwin
Anula;2011;Northern Territory;Maori;11.0;0.0;0.0;3.0;0.0;14.0;Darwin
Bayview (NT);2011;Northern Territory;Scottish;33.0;12.0;7.0;84.0;0.0;136.0;Darwin
Brinkin;2011;Northern Territory;Australian;14.0;24.0;25.0;175.0;7.0;245.0;Darwin
Brinkin;2011;Northern Territory;Croatian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Brinkin;2011;Northern Territory;Indian;87.0;0.0;0.0;0.0;0.0;87.0;Darwin
Brinkin;2011;Northern Territory;Lebanese;6.0;0.0;0.0;0.0;0.0;6.0;Darwin
Coconut Grove;2011;Northern Territory;Maltese;0.0;4.0;0.0;0.0;0.0;4.0;Darwin
East Point;2011;Northern Territory;Korean;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
East Point;2011;Northern Territory;Maltese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
East Point;2011;Northern Territory;Other(d);0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Fannie Bay;2011;Northern Territory;Vietnamese;8.0;0.0;0.0;0.0;0.0;8.0;Darwin
Karama;2011;Northern Territory;Vietnamese;97.0;3.0;3.0;0.0;0.0;103.0;Darwin
Larrakeyah;2011;Northern Territory;German;63.0;15.0;6.0;85.0;0.0;169.0;Darwin
Larrakeyah;2011;Northern Territory;Vietnamese;11.0;0.0;0.0;0.0;0.0;11.0;Darwin
Lee Point;2011;Northern Territory;Irish;3.0;3.0;0.0;12.0;0.0;18.0;Darwin
Ludmilla;2011;Northern Territory;Russian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Ludmilla;2011;Northern Territory;Other(d);109.0;17.0;14.0;15.0;4.0;159.0;Darwin
Lyons (NT);2011;Northern Territory;Korean;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Malak;2011;Northern Territory;Italian;17.0;15.0;3.0;22.0;0.0;57.0;Darwin
Marrara;2011;Northern Territory;Spanish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Nakara;2011;Northern Territory;Lebanese;4.0;0.0;0.0;0.0;0.0;4.0;Darwin
Nakara;2011;Northern Territory;Turkish;3.0;3.0;0.0;0.0;0.0;6.0;Darwin
Nakara;2011;Northern Territory;Vietnamese;10.0;0.0;0.0;0.0;0.0;10.0;Darwin
Parap;2011;Northern Territory;Hungarian;0.0;4.0;0.0;0.0;0.0;4.0;Darwin
Rapid Creek;2011;Northern Territory;Dutch;15.0;12.0;4.0;14.0;0.0;45.0;Darwin
Rapid Creek;2011;Northern Territory;Filipino;62.0;0.0;12.0;0.0;0.0;74.0;Darwin
Rapid Creek;2011;Northern Territory;French;9.0;0.0;4.0;4.0;0.0;17.0;Darwin
The Narrows (NT);2011;Northern Territory;French;4.0;0.0;0.0;4.0;0.0;8.0;Darwin
The Narrows (NT);2011;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
The Narrows (NT);2011;Northern Territory;Maori;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
The Narrows (NT);2011;Northern Territory;Sinhalese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Tiwi;2011;Northern Territory;Ancestry not stated;22.0;0.0;4.0;20.0;231.0;277.0;Darwin
Wagaman;2011;Northern Territory;Sinhalese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wanguri;2011;Northern Territory;Ancestry not stated;5.0;4.0;0.0;22.0;106.0;137.0;Darwin
Winnellie;2011;Northern Territory;Chinese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Woolner;2011;Northern Territory;Croatian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Leanyer;2016;Northern Territory;Dutch;30.0;11.0;4.0;17.0;3.0;74.0;Darwin
Leanyer;2016;Northern Territory;New Zealander;24.0;13.0;6.0;3.0;0.0;41.0;Darwin
Leanyer;2016;Northern Territory;Scottish;64.0;24.0;21.0;217.0;0.0;332.0;Darwin
Lee Point;2016;Northern Territory;French;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Rapid Creek;2016;Northern Territory;Indian;148.0;3.0;0.0;7.0;0.0;156.0;Darwin
The Gardens (NT);2016;Northern Territory;New Zealander;7.0;0.0;0.0;0.0;0.0;5.0;Darwin
The Narrows (NT);2016;Northern Territory;Russian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wagaman;2016;Northern Territory;New Zealander;9.0;0.0;3.0;3.0;0.0;18.0;Darwin
Alawa;2011;Northern Territory;Australian Aboriginal;0.0;0.0;0.0;14.0;0.0;14.0;Darwin
Casuarina (NT);2011;Northern Territory;Filipino;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Coconut Grove;2011;Northern Territory;Vietnamese;13.0;0.0;0.0;0.0;0.0;13.0;Darwin
East Point;2011;Northern Territory;Hungarian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
East Point;2011;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
East Point;2011;Northern Territory;Russian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Lee Point;2011;Northern Territory;Korean;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Ludmilla;2011;Northern Territory;Greek;30.0;8.0;0.0;8.0;0.0;46.0;Darwin
Malak;2011;Northern Territory;Australian Aboriginal;0.0;0.0;0.0;85.0;7.0;92.0;Darwin
Malak;2011;Northern Territory;Dutch;24.0;10.0;9.0;12.0;0.0;55.0;Darwin
Malak;2011;Northern Territory;Russian;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Marrara;2011;Northern Territory;English;103.0;43.0;33.0;293.0;13.0;485.0;Darwin
Marrara;2011;Northern Territory;Polish;0.0;0.0;0.0;4.0;0.0;4.0;Darwin
Marrara;2011;Northern Territory;Serbian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Millner;2011;Northern Territory;Scottish;34.0;11.0;10.0;106.0;0.0;161.0;Darwin
Moil;2011;Northern Territory;Ancestry not stated;37.0;9.0;0.0;24.0;157.0;227.0;Darwin
Nakara;2011;Northern Territory;French;5.0;0.0;0.0;3.0;0.0;8.0;Darwin
Rapid Creek;2011;Northern Territory;Indian;62.0;0.0;5.0;3.0;0.0;70.0;Darwin
Stuart Park;2011;Northern Territory;Irish;81.0;34.0;22.0;269.0;4.0;410.0;Darwin
The Gardens (NT);2011;Northern Territory;Chinese;5.0;0.0;0.0;6.0;0.0;11.0;Darwin
The Gardens (NT);2011;Northern Territory;Filipino;11.0;0.0;3.0;0.0;0.0;14.0;Darwin
The Gardens (NT);2011;Northern Territory;South African;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
The Narrows (NT);2011;Northern Territory;Hungarian;3.0;0.0;0.0;3.0;0.0;6.0;Darwin
The Narrows (NT);2011;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
The Narrows (NT);2011;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wagaman;2011;Northern Territory;Irish;14.0;6.0;3.0;77.0;0.0;100.0;Darwin
Wanguri;2011;Northern Territory;Maori;0.0;9.0;0.0;0.0;0.0;9.0;Darwin
Wanguri;2011;Northern Territory;New Zealander;11.0;3.0;3.0;0.0;0.0;17.0;Darwin
Winnellie;2011;Northern Territory;Dutch;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
Woolner;2011;Northern Territory;Indian;12.0;0.0;0.0;0.0;0.0;12.0;Darwin
Woolner;2011;Northern Territory;Scottish;20.0;10.0;5.0;48.0;0.0;83.0;Darwin
Wulagi;2011;Northern Territory;Polish;3.0;0.0;3.0;4.0;3.0;13.0;Darwin
Wulagi;2011;Northern Territory;Ancestry not stated;20.0;5.0;4.0;24.0;346.0;399.0;Darwin
Karama;2006;Northern Territory;Welsh;4.0;0.0;0.0;13.0;0.0;17.0;Darwin
Larrakeyah;2006;Northern Territory;Russian;3.0;3.0;0.0;0.0;0.0;6.0;Darwin
Moil;2006;Northern Territory;New Zealander;21.0;3.0;3.0;0.0;3.0;30.0;Darwin
Stuart Park;2006;Northern Territory;Polish;9.0;6.0;0.0;4.0;0.0;19.0;Darwin
Tiwi;2006;Northern Territory;Indian;41.0;0.0;4.0;0.0;0.0;45.0;Darwin
Wagaman;2006;Northern Territory;Australian Aboriginal;0.0;6.0;0.0;27.0;3.0;36.0;Darwin
Wagaman;2006;Northern Territory;Chinese;108.0;0.0;4.0;6.0;0.0;118.0;Darwin
Wagaman;2006;Northern Territory;Hungarian;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Wagaman;2006;Northern Territory;Italian;9.0;3.0;0.0;10.0;0.0;22.0;Darwin
Wanguri;2006;Northern Territory;Australian Aboriginal;0.0;3.0;0.0;23.0;3.0;29.0;Darwin
Wanguri;2006;Northern Territory;German;18.0;15.0;3.0;38.0;3.0;77.0;Darwin
Wanguri;2006;Northern Territory;Italian;27.0;10.0;3.0;18.0;3.0;61.0;Darwin
Woolner;2006;Northern Territory;German;11.0;0.0;3.0;13.0;0.0;27.0;Darwin
Woolner;2006;Northern Territory;Maltese;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
Woolner;2006;Northern Territory;Serbian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Woolner;2006;Northern Territory;Other(d);28.0;0.0;0.0;3.0;0.0;31.0;Darwin
Wulagi;2006;Northern Territory;Dutch;17.0;5.0;13.0;4.0;0.0;39.0;Darwin
Wulagi;2006;Northern Territory;Polish;6.0;4.0;4.0;3.0;0.0;17.0;Darwin
Wulagi;2006;Northern Territory;Spanish;9.0;3.0;0.0;3.0;0.0;15.0;Darwin
Malak;2016;Northern Territory;German;26.0;7.0;7.0;75.0;0.0;126.0;Darwin
Marrara;2016;Northern Territory;Vietnamese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Moil;2016;Northern Territory;Chinese;71.0;6.0;7.0;6.0;0.0;99.0;Darwin
Muirhead;2016;Northern Territory;Filipino;94.0;0.0;5.0;3.0;0.0;102.0;Darwin
Parap;2016;Northern Territory;Dutch;7.0;8.0;3.0;18.0;0.0;32.0;Darwin
Rapid Creek;2016;Northern Territory;French;16.0;0.0;0.0;6.0;0.0;22.0;Darwin
Stuart Park;2016;Northern Territory;Maltese;6.0;0.0;0.0;9.0;0.0;13.0;Darwin
The Gardens (NT);2016;Northern Territory;Maori;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
The Narrows (NT);2016;Northern Territory;Vietnamese;7.0;0.0;0.0;0.0;0.0;7.0;Darwin
Tiwi;2016;Northern Territory;Spanish;5.0;0.0;0.0;0.0;0.0;5.0;Darwin
Wagaman;2016;Northern Territory;Dutch;6.0;3.0;0.0;5.0;0.0;18.0;Darwin
Wanguri;2016;Northern Territory;Ancestry not stated;4.0;0.0;0.0;13.0;157.0;178.0;Darwin
Woolner;2016;Northern Territory;South African;0.0;0.0;0.0;0.0;0.0;3.0;Darwin
Wulagi;2016;Northern Territory;Maltese;0.0;0.0;0.0;5.0;0.0;7.0;Darwin
Alawa;2016;Northern Territory;Russian;3.0;0.0;0.0;0.0;0.0;5.0;Darwin
Coonawarra (NT);2016;Northern Territory;Korean;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Coonawarra (NT);2016;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Jingili;2016;Northern Territory;Croatian;4.0;0.0;0.0;0.0;0.0;4.0;Darwin
Leanyer;2016;Northern Territory;Ancestry not stated;9.0;3.0;3.0;17.0;330.0;362.0;Darwin
Ludmilla;2016;Northern Territory;Greek;25.0;11.0;0.0;4.0;0.0;38.0;Darwin
Nakara;2016;Northern Territory;Lebanese;8.0;0.0;0.0;0.0;0.0;8.0;Darwin
Parap;2016;Northern Territory;Polish;4.0;0.0;0.0;3.0;0.0;12.0;Darwin
Anula;2011;Northern Territory;Vietnamese;14.0;0.0;0.0;0.0;0.0;14.0;Darwin
Bayview (NT);2011;Northern Territory;Croatian;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
Karama;2011;Northern Territory;Scottish;61.0;18.0;11.0;153.0;3.0;246.0;Darwin
Karama;2011;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Leanyer;2011;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Millner;2011;Northern Territory;Welsh;9.0;0.0;3.0;7.0;0.0;19.0;Darwin
Moil;2011;Northern Territory;Irish;26.0;16.0;5.0;105.0;7.0;159.0;Darwin
Nakara;2011;Northern Territory;Maltese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Nakara;2011;Northern Territory;Russian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Parap;2011;Northern Territory;Turkish;3.0;0.0;0.0;4.0;0.0;7.0;Darwin
The Narrows (NT);2011;Northern Territory;Polish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wagaman;2011;Northern Territory;Korean;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wagaman;2011;Northern Territory;Spanish;9.0;0.0;0.0;0.0;0.0;9.0;Darwin
Wanguri;2011;Northern Territory;Croatian;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Wanguri;2011;Northern Territory;Macedonian;4.0;0.0;0.0;0.0;0.0;4.0;Darwin
Wulagi;2011;Northern Territory;Croatian;3.0;0.0;3.0;6.0;0.0;12.0;Darwin
Wulagi;2011;Northern Territory;New Zealander;12.0;7.0;7.0;0.0;0.0;26.0;Darwin
Anula;2006;Northern Territory;American;3.0;0.0;0.0;3.0;0.0;6.0;Darwin
Anula;2006;Northern Territory;Filipino;42.0;0.0;10.0;3.0;0.0;55.0;Darwin
Anula;2006;Northern Territory;Polish;10.0;0.0;3.0;3.0;0.0;16.0;Darwin
Coconut Grove;2006;Northern Territory;Maori;8.0;0.0;4.0;0.0;0.0;12.0;Darwin
Coconut Grove;2006;Northern Territory;Scottish;48.0;11.0;17.0;98.0;6.0;180.0;Darwin
Fannie Bay;2006;Northern Territory;Spanish;3.0;0.0;0.0;3.0;0.0;6.0;Darwin
Jingili;2006;Northern Territory;Maltese;0.0;3.0;0.0;0.0;0.0;3.0;Darwin
Karama;2006;Northern Territory;Indian;52.0;0.0;0.0;0.0;3.0;55.0;Darwin
Karama;2006;Northern Territory;Macedonian;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Karama;2006;Northern Territory;Serbian;4.0;0.0;0.0;4.0;0.0;8.0;Darwin
Karama;2006;Northern Territory;South African;5.0;0.0;0.0;0.0;0.0;5.0;Darwin
Larrakeyah;2006;Northern Territory;Indian;11.0;0.0;0.0;0.0;0.0;11.0;Darwin
Ludmilla;2006;Northern Territory;Australian Aboriginal;0.0;0.0;0.0;251.0;0.0;251.0;Darwin
Ludmilla;2006;Northern Territory;Maori;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Millner;2006;Northern Territory;English;130.0;50.0;69.0;320.0;11.0;580.0;Darwin
Millner;2006;Northern Territory;Maori;7.0;4.0;3.0;0.0;0.0;14.0;Darwin
Moil;2006;Northern Territory;Indian;16.0;0.0;0.0;0.0;3.0;19.0;Darwin
Moil;2006;Northern Territory;Russian;3.0;3.0;0.0;0.0;0.0;6.0;Darwin
Nakara;2006;Northern Territory;Sinhalese;28.0;0.0;0.0;0.0;0.0;28.0;Darwin
Nightcliff;2006;Northern Territory;New Zealander;30.0;4.0;4.0;0.0;0.0;38.0;Darwin
Parap;2006;Northern Territory;Croatian;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Parap;2006;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Parap;2006;Northern Territory;Welsh;9.0;3.0;4.0;7.0;0.0;23.0;Darwin
Rapid Creek;2006;Northern Territory;English;217.0;96.0;69.0;521.0;13.0;916.0;Darwin
Rapid Creek;2006;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Winnellie;2006;Northern Territory;Chinese;10.0;0.0;0.0;0.0;0.0;10.0;Darwin
Winnellie;2006;Northern Territory;Russian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Winnellie;2006;Northern Territory;Welsh;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Woolner;2006;Northern Territory;New Zealander;5.0;0.0;0.0;0.0;0.0;5.0;Darwin
Wulagi;2006;Northern Territory;English;167.0;69.0;78.0;383.0;19.0;716.0;Darwin
Wulagi;2006;Northern Territory;Maori;15.0;0.0;0.0;0.0;3.0;18.0;Darwin
Malak;2016;Northern Territory;Australian;34.0;109.0;91.0;769.0;16.0;1016.0;Darwin
Malak;2016;Northern Territory;Filipino;204.0;0.0;6.0;3.0;0.0;212.0;Darwin
Millner;2016;Northern Territory;New Zealander;8.0;3.0;9.0;0.0;0.0;20.0;Darwin
Millner;2016;Northern Territory;Scottish;43.0;15.0;15.0;109.0;0.0;181.0;Darwin
Millner;2016;Northern Territory;Spanish;12.0;0.0;0.0;0.0;0.0;14.0;Darwin
Moil;2016;Northern Territory;Greek;96.0;27.0;11.0;18.0;5.0;154.0;Darwin
Moil;2016;Northern Territory;Maori;10.0;8.0;0.0;4.0;0.0;30.0;Darwin
Muirhead;2016;Northern Territory;Italian;5.0;12.0;4.0;9.0;0.0;33.0;Darwin
Muirhead;2016;Northern Territory;Scottish;38.0;3.0;6.0;85.0;0.0;137.0;Darwin
Tiwi;2016;Northern Territory;Croatian;0.0;0.0;0.0;0.0;0.0;3.0;Darwin
Tiwi;2016;Northern Territory;English;154.0;51.0;45.0;344.0;9.0;611.0;Darwin
Winnellie;2016;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Woolner;2016;Northern Territory;Australian;5.0;27.0;29.0;211.0;0.0;270.0;Darwin
Woolner;2016;Northern Territory;English;71.0;24.0;24.0;166.0;4.0;284.0;Darwin
Woolner;2016;Northern Territory;Italian;9.0;7.0;0.0;17.0;0.0;28.0;Darwin
Woolner;2016;Northern Territory;Korean;14.0;0.0;0.0;0.0;0.0;10.0;Darwin
Wulagi;2016;Northern Territory;English;135.0;78.0;50.0;393.0;4.0;663.0;Darwin
Wulagi;2016;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wulagi;2016;Northern Territory;Scottish;37.0;21.0;7.0;107.0;0.0;176.0;Darwin
Alawa;2016;Northern Territory;Australian;25.0;71.0;79.0;456.0;27.0;652.0;Darwin
Anula;2016;Northern Territory;Australian Aboriginal;0.0;0.0;0.0;22.0;0.0;29.0;Darwin
Anula;2016;Northern Territory;Maori;15.0;0.0;3.0;0.0;0.0;20.0;Darwin
Anula;2016;Northern Territory;Spanish;9.0;0.0;0.0;0.0;0.0;7.0;Darwin
Bayview (NT);2016;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Casuarina (NT);2016;Northern Territory;Dutch;0.0;0.0;0.0;0.0;0.0;3.0;Darwin
Casuarina (NT);2016;Northern Territory;South African;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Coconut Grove;2016;Northern Territory;English;183.0;55.0;38.0;381.0;12.0;670.0;Darwin
Coconut Grove;2016;Northern Territory;Hungarian;0.0;0.0;0.0;0.0;0.0;4.0;Darwin
East Point;2016;Northern Territory;Serbian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Jingili;2016;Northern Territory;Dutch;12.0;5.0;3.0;5.0;0.0;22.0;Darwin
Jingili;2016;Northern Territory;Ancestry not stated;3.0;4.0;0.0;6.0;136.0;158.0;Darwin
Karama;2016;Northern Territory;Dutch;25.0;12.0;4.0;15.0;0.0;60.0;Darwin
Karama;2016;Northern Territory;Italian;36.0;13.0;9.0;30.0;0.0;93.0;Darwin
Larrakeyah;2016;Northern Territory;South African;18.0;0.0;4.0;3.0;0.0;25.0;Darwin
Lyons (NT);2016;Northern Territory;Indian;77.0;3.0;5.0;0.0;0.0;79.0;Darwin
Malak;2016;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Millner;2016;Northern Territory;French;4.0;0.0;4.0;4.0;0.0;13.0;Darwin
Nightcliff;2016;Northern Territory;Italian;53.0;10.0;3.0;54.0;3.0;120.0;Darwin
Stuart Park;2016;Northern Territory;Filipino;188.0;0.0;5.0;7.0;0.0;202.0;Darwin
Stuart Park;2016;Northern Territory;Turkish;7.0;0.0;0.0;0.0;0.0;7.0;Darwin
The Gardens (NT);2016;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wagaman;2016;Northern Territory;Hungarian;4.0;0.0;0.0;0.0;0.0;4.0;Darwin
Alawa;2011;Northern Territory;Greek;67.0;16.0;4.0;9.0;3.0;99.0;Darwin
Bayview (NT);2011;Northern Territory;Irish;17.0;11.0;13.0;107.0;0.0;148.0;Darwin
Brinkin;2011;Northern Territory;Korean;8.0;0.0;0.0;0.0;0.0;8.0;Darwin
Leanyer;2011;Northern Territory;Australian Aboriginal;0.0;3.0;3.0;51.0;0.0;57.0;Darwin
Leanyer;2011;Northern Territory;Chinese;303.0;17.0;18.0;60.0;7.0;405.0;Darwin
Leanyer;2011;Northern Territory;Greek;166.0;47.0;13.0;65.0;15.0;306.0;Darwin
Lee Point;2011;Northern Territory;New Zealander;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Alawa;2016;Northern Territory;Irish;25.0;10.0;19.0;134.0;3.0;187.0;Darwin
Casuarina (NT);2016;Northern Territory;Australian Aboriginal;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Coconut Grove;2016;Northern Territory;Sri Lankan;15.0;0.0;0.0;0.0;0.0;15.0;Darwin
Coonawarra (NT);2016;Northern Territory;Greek;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Coonawarra (NT);2016;Northern Territory;Scottish;0.0;0.0;0.0;14.0;0.0;15.0;Darwin
Coonawarra (NT);2016;Northern Territory;Vietnamese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Jingili;2016;Northern Territory;French;5.0;0.0;5.0;3.0;0.0;16.0;Darwin
Jingili;2016;Northern Territory;Irish;41.0;10.0;8.0;105.0;3.0;168.0;Darwin
Larrakeyah;2016;Northern Territory;Scottish;81.0;22.0;20.0;202.0;0.0;333.0;Darwin
Leanyer;2016;Northern Territory;Irish;76.0;28.0;27.0;267.0;8.0;403.0;Darwin
Leanyer;2016;Northern Territory;Maori;28.0;3.0;3.0;3.0;0.0;37.0;Darwin
Lee Point;2016;Northern Territory;Sri Lankan;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Ludmilla;2016;Northern Territory;Filipino;51.0;3.0;6.0;0.0;3.0;65.0;Darwin
Stuart Park;2016;Northern Territory;Korean;18.0;0.0;0.0;0.0;0.0;17.0;Darwin
The Narrows (NT);2016;Northern Territory;German;9.0;0.0;3.0;12.0;0.0;28.0;Darwin
Tiwi;2016;Northern Territory;Welsh;9.0;0.0;0.0;3.0;0.0;12.0;Darwin
Tiwi;2016;Northern Territory;Italian;21.0;16.0;8.0;16.0;3.0;62.0;Darwin
Wanguri;2016;Northern Territory;German;24.0;7.0;4.0;55.0;0.0;94.0;Darwin
Winnellie;2016;Northern Territory;German;3.0;0.0;0.0;14.0;0.0;13.0;Darwin
Woolner;2016;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
