organisation_event;financial_year;grant_type;initiative;cash;in_kind_support;total
East Timor Women Australia Inc;24/25;Sponsorships;Tais Culture & Resilience: Woven Stories from Timor-Leste;1000;0;1000
Emily Claire Yoga;22/23;Sponsorships;Healthy Darwin Dry Season – Outdoor Slow Yoga;0;149;149
Evita Production;23/24;Sponsorships;Darwin Chorale;0;2912;2912
Fannie Bay History and Heritage Society;21/22;Community Grant;History Mystery Tours;1442;0;1442
Geek Culture Collective NT;23/24;Community Grant;Game On;5983;0;5983
GIRLSTime, Auspiced by Clubhouse Territory;19/20;Community Grant;Growing in Relationships, Laughter and Self;3859;0;3859
HG Fitness;22/23;Sponsorships;Healthy Darwin Dry Season – Yogalates in The Park;0;149;149
Hospitality NT;21/22;Sponsorships;;18182;0;18182
Hospitality NT;24/25;Sponsorships;Golden Plate Awards;10000;0;10000
Indian Orthodox Church Darwin Inc;24/25;Community Grant;Reconciliation Family Fest: meet and greet in Leanyer that builds on the free breakfast program for homeless people that the church has run for 3 years. Includes entertainment programs to enjoy from the minority community and reconciliation programs;2500;0;2500
Indian Street Food Festival;20/21;Sponsorships;;9000;0;9000
Integrated Disability Action;23/24;Sponsorships;International Day of People with Disability;4000;0;4000
Joanna FitzGerald;24/25;Sponsorships;Healthy Darwin 2024 dry season weekly activity (July–Sept) – Sunrise yoga (13 sessions);0;177;177
Joanna FitzGerald;24/25;Sponsorships;Healthy Darwin 2025 dry season program – Sunrise yoga (6 sessions);0;177;177
Jocelyn Tribe (Tangan Collective);24/25;Community Grant;Project Wanga will create a podcast (8 × 45 mins) led by First Nations artists interviewing arts industry members from diverse cultural backgrounds;6605;0;6605
Keith Miller;24/25;Sponsorships;Parenting seminar ×2;0;80;80
Kevin McCarthy;23/24;Cyclone Tracy 50th Anniversary Commemoration Grants;Theatre production;2500;0;2500
Kumadi Design;21/22;Arts Grant;Equipment Purchase;5000;0;5000
Lakeside Drive Community Garden;19/20;Environmental Grant;Open Community Garden Day – Site Preparation;4099;0;4099
Lakeside Drive Community Garden;22/23;Sponsorships;Community composting program;13270;0;13270
Landcare NT;23/24;Environmental Grant;Establish a native flora, fauna and biodiversity science education in Darwin schools;10000;0;10000
Larrakia Nation Aboriginal Corporation;19/20;Environmental Grant;Darwin Harbour Clean-Up 2019;5000;0;5000
Larrakia Nation Aboriginal Corporation;20/21;Environmental Grant;Darwin Harbour Cleanup;5000;0;5000
Larrakia Nation Aboriginal Corporation;21/22;Environmental Grant;Contribution to Darwin Harbour Clean Up 2021;5000;0;5000
Malak Family Centre Inc.;19/20;Community Grant;Malak Family Centre Open Day;2539;0;2539
Media Entertainment & Arts Alliance;23/24;Sponsorships;NT Media Award;1600;0;1600
Media Entertainment & Arts Alliance;24/25;Sponsorships;MEAA NT Media Award;1600;0;1600
Melaleuca Refugee Centre for Torture and Trauma Survivors Service of the NT Inc.;19/20;COVID-19 Community Grant;COVID-19 Community Support;4000;0;4000
Mitchell Street Child Care Centre;19/20;Community Grant;Community Open Day;3500;0;3500
MJD Foundation;21/22;Community Grant;NAIDOC Week Event;5000;0;5000
Multicultural Seniors Social Club;24/25;Community Grant;Gathering of intergenerational individuals from different community organisations to share in the understanding of each other’s culture through performances, singing, dancing, fashion shows, food and music;5000;0;5000
Munanda Terrace Primary School – Bombing of Darwin Interpretive Signage;20/21;Sponsorships;;3460;0;3460
Music NT;20/21;Environmental Grant;The Sacred Life of Trees;9000;0;9000
MyDarwin Vouchers;21/22;Environmental Grant;MyDarwin Vouchers;701280;0;701280
NAIDOC Week;19/20;Sponsorships;;10000;0;10000
National Trust NT;19/20;Community Grant;Heritage Festival 2020;3000;0;3000
Nightcliff Arts Music and Culture Inc;22/23;Sponsorships;Seabreeze Festival;20000;111;20111
Nightcliff Arts Music and Culture Inc;23/24;Sponsorships;2024 Nightcliff Seabreeze Festival – Threading the Foreshore;15000;0;15000
NMACI;24/25;Sponsorships;Nightcliff Seabreeze Festival;0;2922;2922
NoLimits Industrial Solutions C / Wisdom Bar & Café;23/24;Sponsorships;Waiver of outdoor dining fees whilst development of site;0;9690;9690
Northern Territory Government;23/24;Sponsorships;October Business Month;3000;0;3000
Northern Territory Major Events Company;23/24;Sponsorships;BASSINGTHRAS, National Rugby League v B Supercars and Territory Day;0;30000;30000
Northern Territory Momineen Inc;22/23;Community Grant;Northern Territory Momineen Inc is planning to organise an interfaith family fun event on the auspicious occasion of Eid al-Adha (a day celebrated annually by Muslims globally according to the Muslim lunar calendar). People from all ethnic and cultural backgrounds will be invited to participate in this event. We will involve free entertainment activities (slide and jumping castle for children and everyone will have the opportunity to enjoy a variety of cuisines from different parts of the globe for free. Other activities will include face painting and henna tattooing.;4730;0;4730
Northern Territory Police Association;22/23;Sponsorships;Install light tower to illuminate Police Memorial;0;236;236
NT Emergency Services;24/25;Sponsorships;WOW (Wear Orange Wednesday) Day 2025;0;50;50
NT Thai Association;24/25;Sponsorships;NT Thai Grand Festival;0;2013;2013
NT Writers Centre;19/20;Sponsorships;;575;820;1395
NTIBN;24/25;Sponsorships;12th Aboriginal Economic Development Forum;20000;0;20000
Open Gardens NT;19/20;Community Grant;The Art of Growing Communities;4500;0;4500
Parap Family Centre Inc.;19/20;COVID-19 Community Grant;Meals for carers at Parap Family Centre;1600;0;1600
Park Run;24/25;Sponsorships;Event permit;0;2600;2600
PAWS Darwin;19/20;Operational Subsidy;;30000;0;30000
PAWS Darwin;20/21;Operational Subsidy;;30000;0;30000
PAWS Darwin;22/23;Operational Subsidy;;30000;0;30000
Queensland Ballet;21/22;Community Grant;Queensland Ballet Community Regional Tour;5000;0;5000
Returned & Services League of Australia SA Branch, Darwin Sub-Branch;23/24;Sponsorships;ANZAC Day 2024;28000;8000;36000
Royal Agricultural Society of NT Inc;20/21;COVID-19 Community Grant;COVID-19 Response Grants Round 2 – Royal Darwin Show Virtual Mini-Series;5000;0;5000
Royal Agricultural Society of NT Inc;21/22;Sponsorships;;12000;0;12000
Royal Life Saving NT;24/25;Sponsorships;Pipes and Drains campaign 2024/2025;6000;0;6000
Royal Life Saving NT;19/20;Sponsorships;;6000;0;6000
Royal Life Saving Society Australia NT – Pipes & Drains Campaign;20/21;Sponsorships;;6000;0;6000
