state;lga_name;suburb;category;sub_category;males;females;persons;lga_code;scc_code;geo_shape;census_year;lga;joint_regional_groups;year_text;geo_point_2d
Northern Territory;Darwin;Winnellie;Highest year of school completed(f);Year 11 or equivalent;24;12;36;71000;70290;"{""coordinates"": [[[130.90849270700005, -12.424346129999947], [130.86825777900003, -12.425036919999968], [130.86161871900003, -12.4274714799999], [130.86001410900008, -12.432732359999932], [130.89211891800002, -12.432566419999944], [130.90392768700008, -12.439006119999931], [130.90389235700002, -12.428585619999977], [130.90736270700006, -12.427537119999954], [130.90849270700005, -12.424346129999947]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.4292874572468, 130.88571520601627
Northern Territory;Darwin;Woolner;Language spoken at home;English only;221;220;441;71000;70293;"{""coordinates"": [[[130.86161871900003, -12.4274714799999], [130.84802937000003, -12.433713359999954], [130.8417577900001, -12.437629719999961], [130.84123862, -12.439373599999954], [130.84592982000004, -12.438187719999974], [130.84636052000005, -12.441966319999949], [130.84911039000005, -12.442221379999978], [130.8520217, -12.436212119999936], [130.86001410900008, -12.432732359999932], [130.86161871900003, -12.4274714799999]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.435027638207169, 130.85148826096662
Northern Territory;Darwin;Alawa;Age of persons attending an educational institution(d);20-24 years;21;16;37;71000;70003;"{""coordinates"": [[[130.88214945900006, -12.377576058999978], [130.87477013900002, -12.37454097899996], [130.87240731900008, -12.376534508999953], [130.87016697900003, -12.375106178999943], [130.86560385900006, -12.376385708999976], [130.86783601900004, -12.378786098999967], [130.86588600900006, -12.381616098999928], [130.86660917900008, -12.384855338999955], [130.87945159900002, -12.381370178999928], [130.88214945900006, -12.377576058999978]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.379379175481102, 130.8730084196383
Northern Territory;Darwin;Anula;Age groups;25-34 years;156;169;325;71000;70014;"{""coordinates"": [[[130.88668253800006, -12.386396598999964], [130.88321178900003, -12.39524862899998], [130.897789998, -12.39593425], [130.89683563800008, -12.388513759999967], [130.8877528280001, -12.384587688999943], [130.88668253800006, -12.386396598999964]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.391244414206545, 130.89081492862664
Northern Territory;Darwin;Anula;Age groups;65-74 years;69;66;135;71000;70014;"{""coordinates"": [[[130.88668253800006, -12.386396598999964], [130.88321178900003, -12.39524862899998], [130.897789998, -12.39593425], [130.89683563800008, -12.388513759999967], [130.8877528280001, -12.384587688999943], [130.88668253800006, -12.386396598999964]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.391244414206545, 130.89081492862664
Northern Territory;Darwin;Anula;Highest year of school completed(e);Year 10 or equivalent;192;158;350;71000;70014;"{""coordinates"": [[[130.88668253800006, -12.386396598999964], [130.88321178900003, -12.39524862899998], [130.897789998, -12.39593425], [130.89683563800008, -12.388513759999967], [130.8877528280001, -12.384587688999943], [130.88668253800006, -12.386396598999964]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.391244414206545, 130.89081492862664
Northern Territory;Darwin;Bayview (NT);Birthplace;Australia;517;558;1075;71000;70025;"{""coordinates"": [[[130.86001410900008, -12.432732359999932], [130.8520217, -12.436212119999936], [130.85003238000002, -12.438858359999927], [130.8540533700001, -12.441674359999979], [130.86461642900005, -12.442846349999968], [130.8662563690001, -12.44028635999996], [130.86385937900002, -12.4390043399999], [130.863893359, -12.432438969999964], [130.86001410900008, -12.432732359999932]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.438040591871552, 130.85870678366422
Northern Territory;Darwin;Casuarina (NT);Total persons;Total persons;8;4;12;71000;70051;"{""coordinates"": [[[130.88477274900004, -12.37638931899994], [130.8862476390001, -12.371805238999968], [130.883447249, -12.369954218999965], [130.8802810190001, -12.372326628999927], [130.87912039900004, -12.375776318999954], [130.87653991900004, -12.375649868999972], [130.88214945900006, -12.377576058999978], [130.88275137900007, -12.375787938999963], [130.88477274900004, -12.37638931899994]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.37387965642937, 130.882513451844
Northern Territory;Darwin;Casuarina (NT);Language spoken at home;English only;5;0;5;71000;70051;"{""coordinates"": [[[130.88477274900004, -12.37638931899994], [130.8862476390001, -12.371805238999968], [130.883447249, -12.369954218999965], [130.8802810190001, -12.372326628999927], [130.87912039900004, -12.375776318999954], [130.87653991900004, -12.375649868999972], [130.88214945900006, -12.377576058999978], [130.88275137900007, -12.375787938999963], [130.88477274900004, -12.37638931899994]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.37387965642937, 130.882513451844
Northern Territory;Darwin;Coconut Grove;Highest year of school completed(e);Year 9 or equivalent;60;60;120;71000;70059;"{""coordinates"": [[[130.85606853000002, -12.39822663899997], [130.85602747000007, -12.387904528999968], [130.84799951, -12.389418198999977], [130.8458519200001, -12.40258949899993], [130.8561099200001, -12.402629158999956], [130.85606853000002, -12.39822663899997]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.395927261793862, 130.8515658647107
Northern Territory;Darwin;Jingili;Age groups;85 years and over;0;4;4;71000;70138;"{""coordinates"": [[[130.86660917900008, -12.384855338999955], [130.86702618900006, -12.389227888999924], [130.87211786900002, -12.395299058999965], [130.878297069, -12.395274538999956], [130.87670551900007, -12.382594088999952], [130.86660917900008, -12.384855338999955]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.389045155415507, 130.87292996528393
Northern Territory;Darwin;Karama;Total persons;Total persons;2433;2412;4845;71000;70143;"{""coordinates"": [[[130.91143435700008, -12.39072908999998], [130.907744717, -12.401260459999946], [130.92268219700009, -12.409910449999927], [130.92314804700004, -12.400988559999973], [130.91920312700006, -12.394496769999932], [130.91143435700008, -12.39072908999998]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.400047003926316, 130.91605655400303
Northern Territory;Darwin;Larrakeyah;Age groups;35-44 years;251;204;455;71000;70159;"{""coordinates"": [[[130.83331826000006, -12.4605920299999], [130.83521513000005, -12.458649399999956], [130.83336440000005, -12.456826259999955], [130.83476695000002, -12.455442329999926], [130.83382627000003, -12.453408259999946], [130.8233196010001, -12.447535528999936], [130.8205016510001, -12.452123578999931], [130.81687169100007, -12.454323618999977], [130.81868673100004, -12.460085669999955], [130.83331826000006, -12.4605920299999]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.45538485204315, 130.82594442076615
Northern Territory;Darwin;Leanyer;Birthplace;Australia;1474;1508;2982;71000;70161;"{""coordinates"": [[[130.9036753680001, -12.384681169999965], [130.90363098800003, -12.382484569999974], [130.9054461280001, -12.382682649999936], [130.90741960800003, -12.373857958999961], [130.9008294680001, -12.36565474899993], [130.89232339800003, -12.365689028999952], [130.89078582800005, -12.377470568999968], [130.89584345800006, -12.378660098999944], [130.9036753680001, -12.384681169999965]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.373938865574505, 130.89911098213253
Northern Territory;Darwin;Lee Point;Language spoken at home;Other language(c);6;4;10;71000;70162;"{""coordinates"": [[[130.8907768480001, -12.351060118999953], [130.90421370800004, -12.351008108999963], [130.90602771800002, -12.344371128999967], [130.90430568800002, -12.337384118999978], [130.90521573800004, -12.334655828999926], [130.89601573800007, -12.330045838999979], [130.88821579900002, -12.340455898999949], [130.879670669, -12.346015998999974], [130.87971815900005, -12.35093588899997], [130.8907768480001, -12.351060118999953]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.343044609331878, 130.89475772798983
Northern Territory;Darwin;Malak;Age of persons attending an educational institution(d);25 years and over;58;82;140;71000;70169;"{""coordinates"": [[[130.89683563800008, -12.388513759999967], [130.897789998, -12.39593425], [130.907744717, -12.401260459999946], [130.91143435700008, -12.39072908999998], [130.9046022880001, -12.385403349999933], [130.901582608, -12.387783579999962], [130.89874903800012, -12.38689716999994], [130.89683563800008, -12.388513759999967]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.392844209215955, 130.90403539496535
Northern Territory;Darwin;Marrara;Highest year of school completed(e);Year 9 or equivalent;40;28;68;71000;70178;"{""coordinates"": [[[130.90841430700004, -12.404775589999927], [130.91833358700012, -12.412751199999946], [130.919146917, -12.407863679999934], [130.897789998, -12.39593425], [130.8715488690001, -12.395301278999966], [130.87736112900006, -12.402603338999938], [130.90840711700002, -12.402507579999961], [130.90841430700004, -12.404775589999927]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.400622062065716, 130.89338633432567
Northern Territory;Darwin;Moil;Age groups;25-34 years;143;165;308;71000;70192;"{""coordinates"": [[[130.87945159900002, -12.381370178999928], [130.87670551900007, -12.382594088999952], [130.878297069, -12.395274538999956], [130.88321178900003, -12.39524862899998], [130.88668253800006, -12.386396598999964], [130.87945159900002, -12.381370178999928]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.388507334477085, 130.88111323062097
Northern Territory;Darwin;Moil;Age groups;85 years and over;3;4;7;71000;70192;"{""coordinates"": [[[130.87945159900002, -12.381370178999928], [130.87670551900007, -12.382594088999952], [130.878297069, -12.395274538999956], [130.88321178900003, -12.39524862899998], [130.88668253800006, -12.386396598999964], [130.87945159900002, -12.381370178999928]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.388507334477085, 130.88111323062097
Northern Territory;Darwin;Moil;Language spoken at home;English only;720;665;1385;71000;70192;"{""coordinates"": [[[130.87945159900002, -12.381370178999928], [130.87670551900007, -12.382594088999952], [130.878297069, -12.395274538999956], [130.88321178900003, -12.39524862899998], [130.88668253800006, -12.386396598999964], [130.87945159900002, -12.381370178999928]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.388507334477085, 130.88111323062097
Northern Territory;Darwin;Moil;Highest year of school completed(e);Year 12 or equivalent;333;350;683;71000;70192;"{""coordinates"": [[[130.87945159900002, -12.381370178999928], [130.87670551900007, -12.382594088999952], [130.878297069, -12.395274538999956], [130.88321178900003, -12.39524862899998], [130.88668253800006, -12.386396598999964], [130.87945159900002, -12.381370178999928]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.388507334477085, 130.88111323062097
Northern Territory;Darwin;Parap;Age groups;45-54 years;137;127;264;71000;70219;"{""coordinates"": [[[130.85479278000003, -12.430620609999947], [130.8536194500001, -12.428097819999948], [130.85104649000002, -12.430040839999947], [130.8490251300001, -12.427423178999957], [130.84506907000002, -12.429513248999966], [130.84112707000008, -12.426674368999954], [130.83972412, -12.428538278999952], [130.84154573, -12.429832928999929], [130.8415630300001, -12.432185518999972], [130.8375187900001, -12.438960648999966], [130.84085329000004, -12.441640869999956], [130.8417577900001, -12.437629719999961], [130.85479278000003, -12.430620609999947]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.432785626267483, 130.84505891382105
Northern Territory;Darwin;Rapid Creek;Age groups;65-74 years;102;72;174;71000;70231;"{""coordinates"": [[[130.86560385900006, -12.376385708999976], [130.86425595000003, -12.373146078999978], [130.86253593000004, -12.376196088999961], [130.85294293000004, -12.373954088999938], [130.84929895000005, -12.37642311899998], [130.85600549000003, -12.384999788999949], [130.85606565000012, -12.389125128999979], [130.86660917900008, -12.384855338999955], [130.86588600900006, -12.381616098999928], [130.86783601900004, -12.378786098999967], [130.86560385900006, -12.376385708999976]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.380449110808298, 130.85917901070883
Northern Territory;Darwin;Casuarina (NT);Aboriginal and/or Torres Strait Islander persons;Torres Strait Islander;0;0;0;71000;70051;"{""coordinates"": [[[130.88477274900004, -12.37638931899994], [130.8862476390001, -12.371805238999968], [130.883447249, -12.369954218999965], [130.8802810190001, -12.372326628999927], [130.87912039900004, -12.375776318999954], [130.87653991900004, -12.375649868999972], [130.88214945900006, -12.377576058999978], [130.88275137900007, -12.375787938999963], [130.88477274900004, -12.37638931899994]]], ""type"": ""Polygon""}";2016;Darwin;;2016;-12.37387965642937, 130.882513451844
Northern Territory;Darwin;Coconut Grove;Highest year of school completed(f);Year 11 or equivalent;133;105;245;71000;70059;"{""coordinates"": [[[130.85606853000002, -12.39822663899997], [130.85602747000007, -12.387904528999968], [130.84799951, -12.389418198999977], [130.8458519200001, -12.40258949899993], [130.8561099200001, -12.402629158999956], [130.85606853000002, -12.39822663899997]]], ""type"": ""Polygon""}";2016;Darwin;;2016;-12.395927261793862, 130.8515658647107
Northern Territory;Darwin;East Point;Age groups;35-44 years;0;0;0;71000;70087;"{""coordinates"": [[[130.8382478410001, -12.41147879899995], [130.8231563710001, -12.404616468999961], [130.81844637100002, -12.405186508999975], [130.81638642200005, -12.407906528999943], [130.81961645100012, -12.414566508999938], [130.8282263310001, -12.411616428999933], [130.83110852100003, -12.417709178999926], [130.83490576100007, -12.417189328999939], [130.84082755000009, -12.420418018999952], [130.84082719, -12.415361728999926], [130.84489624000003, -12.415359308999939], [130.84082124000008, -12.411227318999975], [130.8382478410001, -12.41147879899995]]], ""type"": ""Polygon""}";2016;Darwin;;2016;-12.411707986073118, 130.82964622147028
Northern Territory;Darwin;Eaton (NT);Age groups;20-24 years;17;13;33;71000;70089;"{""coordinates"": [[[130.90849270700005, -12.424346129999947], [130.90840711700002, -12.402507579999961], [130.87736112900006, -12.402603338999938], [130.8715488690001, -12.395301278999966], [130.86277638900003, -12.39542124899998], [130.85606853000002, -12.39822663899997], [130.85621862000005, -12.42456201999994], [130.86380455900007, -12.424445179999964], [130.86383488900003, -12.426464579999958], [130.86825777900003, -12.425036919999968], [130.90849270700005, -12.424346129999947]]], ""type"": ""Polygon""}";2016;Darwin;;2016;-12.412293593691336, 130.88063539591752
Northern Territory;Darwin;Jingili;Count of persons in other dwellings;Count of persons in other dwellings(g)(h);83;85;165;71000;70138;"{""coordinates"": [[[130.86660917900008, -12.384855338999955], [130.86702618900006, -12.389227888999924], [130.87211786900002, -12.395299058999965], [130.878297069, -12.395274538999956], [130.87670551900007, -12.382594088999952], [130.86660917900008, -12.384855338999955]]], ""type"": ""Polygon""}";2016;Darwin;;2016;-12.389045155415507, 130.87292996528393
Northern Territory;Darwin;Muirhead;Age groups;15-19 years;54;39;93;71000;70198;"{""coordinates"": [[[130.8907768480001, -12.351060118999953], [130.8902757080001, -12.35637111899996], [130.89232339800003, -12.365689028999952], [130.9008294680001, -12.36565474899993], [130.90076868800008, -12.351023118999933], [130.8907768480001, -12.351060118999953]]], ""type"": ""Polygon""}";2016;Darwin;;2016;-12.358136258208809, 130.89589005781392
Northern Territory;Darwin;Muirhead;Age groups;20-24 years;89;113;201;71000;70198;"{""coordinates"": [[[130.8907768480001, -12.351060118999953], [130.8902757080001, -12.35637111899996], [130.89232339800003, -12.365689028999952], [130.9008294680001, -12.36565474899993], [130.90076868800008, -12.351023118999933], [130.8907768480001, -12.351060118999953]]], ""type"": ""Polygon""}";2016;Darwin;;2016;-12.358136258208809, 130.89589005781392
Northern Territory;Darwin;Wagaman;Age groups;25-34 years;197;173;366;71000;70277;"{""coordinates"": [[[130.89078582800005, -12.377470568999968], [130.88275137900007, -12.375787938999963], [130.87945159900002, -12.381370178999928], [130.88668253800006, -12.386396598999964], [130.89078582800005, -12.377470568999968]]], ""type"": ""Polygon""}";2016;Darwin;;2016;-12.380431087592761, 130.8851528133215
Northern Territory;Darwin;Anula;Age groups;35-44 years;175;202;377;71000;70014;"{""coordinates"": [[[130.88668253800006, -12.386396598999964], [130.88321178900003, -12.39524862899998], [130.897789998, -12.39593425], [130.89683563800008, -12.388513759999967], [130.8877528280001, -12.384587688999943], [130.88668253800006, -12.386396598999964]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.391244414206545, 130.89081492862664
Northern Territory;Darwin;Anula;Age groups;75-84 years;11;9;20;71000;70014;"{""coordinates"": [[[130.88668253800006, -12.386396598999964], [130.88321178900003, -12.39524862899998], [130.897789998, -12.39593425], [130.89683563800008, -12.388513759999967], [130.8877528280001, -12.384587688999943], [130.88668253800006, -12.386396598999964]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.391244414206545, 130.89081492862664
Northern Territory;Darwin;Brinkin;Age groups;0-4 years;33;30;63;71000;70040;"{""coordinates"": [[[130.87477013900002, -12.37454097899996], [130.87222495900005, -12.373240658999975], [130.87423698900008, -12.365552058999981], [130.86634722000005, -12.364073918999964], [130.86071593000008, -12.374176068999928], [130.86253593000004, -12.376196088999961], [130.86425595000003, -12.373146078999978], [130.86560385900006, -12.376385708999976], [130.87016697900003, -12.375106178999943], [130.87240731900008, -12.376534508999953], [130.87477013900002, -12.37454097899996]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.37057158712951, 130.8681854375327
Northern Territory;Darwin;Brinkin;Age groups;15-19 years;42;51;93;71000;70040;"{""coordinates"": [[[130.87477013900002, -12.37454097899996], [130.87222495900005, -12.373240658999975], [130.87423698900008, -12.365552058999981], [130.86634722000005, -12.364073918999964], [130.86071593000008, -12.374176068999928], [130.86253593000004, -12.376196088999961], [130.86425595000003, -12.373146078999978], [130.86560385900006, -12.376385708999976], [130.87016697900003, -12.375106178999943], [130.87240731900008, -12.376534508999953], [130.87477013900002, -12.37454097899996]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.37057158712951, 130.8681854375327
Northern Territory;Darwin;Brinkin;Age groups;55-64 years;61;49;110;71000;70040;"{""coordinates"": [[[130.87477013900002, -12.37454097899996], [130.87222495900005, -12.373240658999975], [130.87423698900008, -12.365552058999981], [130.86634722000005, -12.364073918999964], [130.86071593000008, -12.374176068999928], [130.86253593000004, -12.376196088999961], [130.86425595000003, -12.373146078999978], [130.86560385900006, -12.376385708999976], [130.87016697900003, -12.375106178999943], [130.87240731900008, -12.376534508999953], [130.87477013900002, -12.37454097899996]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.37057158712951, 130.8681854375327
Northern Territory;Darwin;Coconut Grove;Age groups;55-64 years;157;117;274;71000;70059;"{""coordinates"": [[[130.85606853000002, -12.39822663899997], [130.85602747000007, -12.387904528999968], [130.84799951, -12.389418198999977], [130.8458519200001, -12.40258949899993], [130.8561099200001, -12.402629158999956], [130.85606853000002, -12.39822663899997]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.395927261793862, 130.8515658647107
Northern Territory;Darwin;Coconut Grove;Age groups;65-74 years;82;80;162;71000;70059;"{""coordinates"": [[[130.85606853000002, -12.39822663899997], [130.85602747000007, -12.387904528999968], [130.84799951, -12.389418198999977], [130.8458519200001, -12.40258949899993], [130.8561099200001, -12.402629158999956], [130.85606853000002, -12.39822663899997]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.395927261793862, 130.8515658647107
