meeting_type;meeting_date;section;title;department;report_type
Ordinary Council;2021-09-02;Receive and Note Reports;Monthly Financial Report - December 2020;Corporate;Standard Report
Ordinary Council;2021-09-02;Receive and Note Reports;Arts and Cultural Development Advisory Committee Minutes - 15 September 2020 and 1 December 2020;Community;Standard Report
Ordinary Council;2021-02-23;Action Reports;Technical Review of the Northern Territory Liquor Act 2019 and Regulation Licensing;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-03-16;Action Reports;Pool Fees and Charges 2021/22;Community;Standard Report
Ordinary Council;2021-03-16;Action Reports;National General Assembly of Local Government (NGA) June 2021 - Notice of Motion - Reconciliation;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-03-16;Action Reports;Policy Management - 22nd Council Policy Review Schedule;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-03-16;Receive and Note Reports;Darwin Military and Civilian History Advisory Committee Minutes - 3 February 2021;Community;Standard Report
Ordinary Council;2021-03-16;Receive and Note Reports;Reconciliation Action Plan Steering Committee Minutes - 16 February 2021;Community;Standard Report
Ordinary Council;2021-03-30;Action Reports;Review of Policy No.079 - Street Food;Innovation;Standard Report
Ordinary Council;2021-03-30;Action Reports;Review of Policy No. 031 - Media;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-03-30;Action Reports;The Proposed Karama Country Music Muster Event;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-03-30;Receive and Note Reports;City Safe Security Patrol - March 2021 to June 2022;Community;Standard Report
Ordinary Council;2021-03-30;Receive and Note Reports;Youth Advisory Committee Unconfirmed Minutes - 11 March 2021;Community;Standard Report
Ordinary Council;2021-04-13;Notices of Motion;Notice of Motion - Refugees in Darwin Detention Facility;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2021-04-13;Action Reports;Review of Policy 044 - Public Library Service;Community;Standard Report
Ordinary Council;2021-04-13;Receive and Note Reports;2021 Australian Liveability Census - Place Score;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-04-27;Action Reports;Smart Gate Review;Innovation;Standard Report
Ordinary Council;2021-04-27;Receive and Note Reports;Department of Local Government - Local Government Priority Infrastructure Fund (LGPIF) Grant Offer 2020/21;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-11-05;Receive and Note Reports;Reconciliation Action Plan Steering Committee Minutes 20 April 2021;Community;Standard Report
Ordinary Council;2021-05-25;Action Reports;Review of Policy 087 - Related Party Disclosures;Corporate;Standard Report
Ordinary Council;2021-05-25;Action Reports;Arts and Cultural Development Advisory Committee - Review of Arts and Culture Advertising;Community;Standard Report
Ordinary Council;2021-05-25;Action Reports;Access and Inclusion Advisory Committee - Recommendation to Assess Footpath at Fannie Bay Shops;Community;Standard Report
Ordinary Council;2021-05-25;Action Reports;Sister City Proposal from the City of Antsirabe Madagascar;Innovation;Standard Report
Ordinary Council;2021-05-25;Action Reports;Proposal to Rename Chinatown Car Park;Innovation;Standard Report
Ordinary Council;2021-05-25;Receive and Note Reports;City of Darwin Quarterly Performance Report - March 2021 (Q3);Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-05-25;Receive and Note Reports;Monthly Financial Report - April 2021;Corporate;Standard Report
Ordinary Council;2021-07-13;Notices of Motion;Notice of Motion - Alderman Robin Knox - Energy Audit of Parap Pool to Identify Power Savings and Reduce Operational Costs;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2021-07-13;Action Reports;Review of Policy 082 - Alcohol in Council Controlled Spaces and Places;Community;Standard Report
Ordinary Council;2021-07-13;Action Reports;Review of Policies 007 - Arts and Cultural Development and 084 - Public Art;Community;Standard Report
Ordinary Council;2021-07-13;Action Reports;Review of Policy 043 – Meetings, Meeting Procedure and Committees;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-07-13;Action Reports;City of Darwin Governance Framework;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-07-13;Action Reports;Response to the Property Council of Australia's Submission on City of Darwin Draft Municipal Plan 2021-22;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-07-13;Receive and Note Reports;East Point Reserve Advisory Committee Minutes;Engineering & City Services;Standard Report
Ordinary Council;2021-07-13;Receive and Note Reports;Local Government Act 2019 (and Regulations) - June 2021 Update;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-07-27;Action Reports;Update on 2021/22 Black Spot Programme Project Nominations;Engineering & City Services;Standard Report
Ordinary Council;2021-07-27;Action Reports;Kahlin Oval - Proposed Shed Location;Community;Standard Report
Ordinary Council;2021-07-27;Action Reports;City of Darwin Statutory Delegations - Local Government Act 2019;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-07-27;Action Reports;2030 Climate Emergency Strategy;Engineering & City Services;Standard Report
Ordinary Council;2021-07-27;Receive and Note Reports;Youth Advisory Committee Minutes - 8 July 2021;Community;Standard Report
Ordinary Council;2021-07-27;Receive and Note Reports;Access and Inclusion Advisory Committee Minutes - 8 July 2021;Community;Standard Report
Ordinary Council;2021-07-27;Receive and Note Reports;Risk Management & Audit Committee Minutes - 25 June 2021;Corporate;Standard Report
Ordinary Council;2021-07-27;Receive and Note Reports;Street Food Program Update;Innovation;Standard Report
Ordinary Council;2021-07-27;Receive and Note Reports;Lee Point Cat Density Project;Community;Standard Report
Ordinary Council;2021-07-27;Receive and Note Reports;Interim Monthly Financial Report - June 2021;Corporate;Standard Report
Ordinary Council;2021-07-27;Information Item;Incoming Correspondence - Letter to Lord Mayor Regarding Casuarina Pool Redevelopment Youth Space;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-03-08;Lord Mayoral Minute;Lord Mayoral Minute - Valedictory Address;Office of the Lord Mayor and CEO;Lord Mayoral Minute
Ordinary Council;2021-09-28;Action Reports;23rd Council of the City of Darwin - Appointment of Deputy Lord Mayor;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-09-28;Action Reports;Statutory Delegations for the 23rd Council;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-09-28;Action Reports;23rd Council - Establishment of Executive and Advisory Committees;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-09-28;Action Reports;23rd Council - Appointments to Council Committees and External Representative Bodies;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-12-10;Notices of Motion;Notice of Motion - Save Lee Point;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2021-12-10;Action Reports;Lee Point Subdivision Place Names Application;Innovation;Standard Report
Ordinary Council;2021-12-10;Action Reports;Walkway Closure Trial Outcome - Walkway 104 Litchfield Court to  Craig Crescent Coconut Grove;Community;Standard Report
Ordinary Council;2021-12-10;Action Reports;Local Government Association of the Northern Territory (LGANT) General Meeting - Notice of Motion;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-12-10;Receive and Note Reports;End of Year Car Parking Revenue Results;Innovation;Standard Report
Ordinary Council;2021-12-10;Information Item;Incoming Correspondence - Australian Local Government Association (ALGA) - National General Assembly (NGA) - Notice of Motion - Reconciliation;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-12-10;Information Item;Incoming Correspondence - Chamber of Commerce Northern Territory - CBD Security Services;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-10-26;Notices of Motion;Notice of Motion - Development Consent Authority Nominations;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2021-10-26;Receive and Note Reports;Marine Hazard Warning Signs;Community;Standard Report
Ordinary Council;2021-10-26;Information Item;Incoming Correspondence - Department of the Chief Minister and Cabinet - Closure of the 2019 Compliance Review;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-11-16;Action Reports;Forming a Friendship City Relationship Between City of Darwin and J?etsu, Japan;Innovation;Standard Report
Ordinary Council;2021-11-16;Action Reports;Darwin Turf Club Sign Application, Dick Ward Drive Road Reserve, Fannie Bay;Innovation;Standard Report
Ordinary Council;2021-11-16;Information Item;Incoming Correspondence - Department of the Chief Minister and Cabinet Regarding Professional Development for Elected Members;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-11-30;Action Reports;Youth Strategy 2022-2026;Community;Standard Report
Ordinary Council;2021-11-30;Action Reports;Community Consultation Outcome - Walkway 207 - Creber Court to McMillans Road Karama;Community;Standard Report
Ordinary Council;2021-11-30;Action Reports;Appointment to Activate Darwin Advisory Board;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-11-30;Action Reports;Lee Point Subdivision Place Names Application;Innovation;Standard Report
Ordinary Council;2021-11-30;Receive and Note Reports;Stormwater Drainage Infrastructure CCTV Surveys Update;Corporate;Standard Report
Ordinary Council;2021-11-30;Receive and Note Reports;Jingili Water Gardens - Introduction of CCTV Network by the Northern Territory Government;Innovation;Standard Report
Ordinary Council;2021-11-30;Receive and Note Reports;Monthly Financial Report - October 2021;Corporate;Standard Report
Ordinary Council;2021-11-30;Receive and Note Reports;East Point Reserve Advisory Committee Meeting Minutes - 28 October 2021;Innovation;Standard Report
Ordinary Council;2021-11-30;Receive and Note Reports;Community Advisory Committee Minutes;Community;Standard Report
Ordinary Council;2021-11-30;Receive and Note Reports;Risk Management & Audit Committee Minutes - 29 October 2021;Corporate;Standard Report
Ordinary Council;2021-07-12;Notices of Motion;Notice of Motion - Multi-Cultural Presentation or Inter-Faith Blessing;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2021-07-12;Action Reports;Youth Advisory Committee Minutes - 11 November 2021 and Amendment to Terms of Reference;Community;Standard Report
Ordinary Council;2021-07-12;Action Reports;Appointments to External Representative Bodies and Nomination to Animal Welfare Advisory Committee;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-07-12;Receive and Note Reports;2021 Pre-Cyclone Clean Up;Innovation;Standard Report
Ordinary Council;2021-07-12;Receive and Note Reports;Communications and Engagement Strategy 2021-2023;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-01-02;Notices of Motion;Notice of Motion - Senior Fun Bus;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2022-01-02;Action Reports;Reconciliation Advisory Committee - Establishment;Community;Standard Report
Ordinary Council;2022-01-02;Action Reports;Proposed Bougainvillea Event;Innovation;Standard Report
Ordinary Council;2022-01-02;Action Reports;Lord Mayor - Process regarding change of title of Alderman to Councillor;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-01-02;Receive and Note Reports;Monthly Financial Report - November 2021;Corporate;Standard Report
Ordinary Council;2022-01-02;Receive and Note Reports;Monthly Financial Report - December 2021;Corporate;Standard Report
Ordinary Council;2022-01-02;Information Item;Incoming Correspondence - Minister for Essential Services - Undergrounding of Power Supply in the Darwin Region;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-02-22;Notices of Motion;Notice of Motion - Commercialisation of the Waste Management Regime;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2022-02-22;Notices of Motion;Notice of Motion - Customer Request Management (CRM) System;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2022-02-22;Action Reports;A Friendship City Proposal with City of London;Innovation;Standard Report
Ordinary Council;2022-02-22;Action Reports;Planning Reform Phase 2 - Stage 1 Reforms;Innovation;Standard Report
Ordinary Council;2022-02-22;Action Reports;Black Spot Program 2022/23 Project Nomination;Innovation;Standard Report
Ordinary Council;2022-02-22;Receive and Note Reports;Monthly Financial Report - January 2022;Corporate;Standard Report
Ordinary Council;2022-02-22;Information Item;Incoming Correspondence - Minister for Recreational Fishing - Creation of a Land-based Fishing Platform at East Point;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-03-15;Receive and Note Reports;Community Advisory Committee Minutes;Community;Standard Report
Ordinary Council;2022-03-29;Action Reports;Proposal for Additional 90° Car Parking - Lot 6464 (60) Winnellie Road, Winnellie;Innovation;Standard Report
Ordinary Council;2022-03-29;Receive and Note Reports;Tier 2 Bi-annual Performance Report: July - December 2021;Corporate;Standard Report
Ordinary Council;2022-12-04;Action Reports;Motions to put to 2022 National General Assembly;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-12-04;Action Reports;Policy Review - Elected Members Expenses, Facilities and Support;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-12-04;Action Reports;Walkway 49 - Community Consultation Outcome (Humbert Street to Rosewood Crescent, Leanyer);Community;Standard Report
Ordinary Council;2022-12-04;Receive and Note Reports;Bagot Park Master Plan Consultation Outcomes;Community;Standard Report
Ordinary Council;2022-12-04;Receive and Note Reports;Mirragma-gunugurra-wa Public Art Commission Update;Community;Standard Report
Ordinary Council;2022-12-04;Receive and Note Reports;East Point Reserve Advisory Committee Meeting Minutes 24 February 2022;Innovation;Standard Report
Ordinary Council;2022-04-26;Receive and Note Reports;Monthly Financial Report - March 2022;Corporate;Standard Report
Ordinary Council;2022-05-17;Lord Mayoral Minute;Mayoral Minute - Focus for Federal Election Advocasy;Office of the Lord Mayor and CEO;Lord Mayoral Minute
Ordinary Council;2022-05-17;Action Reports;Finance Policies;Corporate;Standard Report
Ordinary Council;2022-05-17;Action Reports;Review of Financial Reserves Policy 0067.100.E.R;Corporate;Standard Report
Ordinary Council;2022-05-31;Receive and Note Reports;Monthly Financial Report - April 2022;Corporate;Standard Report
Ordinary Council;2022-05-31;Receive and Note Reports;Unconfirmed Open Minutes - Risk Management and Audit Committee (RMAC) -  29 April 2022;Corporate;Standard Report
Ordinary Council;2022-06-14;Action Reports;Adoption of 2022/23 Municipal Plan;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-06-14;Action Reports;2022/23 Declaration of Rates and Charges;Corporate;Standard Report
Ordinary Council;2022-06-14;Action Reports;Engagement Framework for Place Naming in the NT;Innovation;Standard Report
Ordinary Council;2022-06-14;Action Reports;Weekend Public Places Patrols;Community;Standard Report
Ordinary Council;2022-06-28;Action Reports;Review of Employment Policies Statement 0072.100.E.R.;Corporate;Standard Report
Ordinary Council;2022-06-28;Action Reports;Nomination to the Prescribed Corporation Panel;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-06-28;Action Reports;Play Space Strategy;Community;Standard Report
Ordinary Council;2022-12-07;Action Reports;Place Names Application - Defence Housing Australia - Naming of 23 Roads - Lot 4873 (577) Lee Point Road, Lee Point;Innovation;Standard Report
Ordinary Council;2022-12-07;Action Reports;Borrowing arrangements for Waste Cell 2 Expansion and Waste Leachate Ponds at Shoal Bay Waste Management Facility;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-12-07;Action Reports;Appointments to Council Committees;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-07-26;Action Reports;Football NT Change Room Proposals - Response to Consultation Outcomes;Community;Standard Report
Ordinary Council;2022-07-26;Action Reports;Application to Play Music in The Mall - Cafe 21 - Licensed Outdoor Dining Area;Innovation;Standard Report
Ordinary Council;2022-07-26;Action Reports;International Relations and Sister City Policy, Terms of Reference and Membership Review;Innovation;Standard Report
Ordinary Council;2022-07-26;Receive and Note Reports;Update on Darwin International Virtual Trade Show 2022;Innovation;Standard Report
Ordinary Council;2022-07-26;Receive and Note Reports;Update on Lord Mayoral Trade Mission to Denpasar June 2022;Innovation;Standard Report
Ordinary Council;2022-08-16;Notices of Motion;Notice of Motion - Installation of Underground Irrigation at Wolfram Court Anula;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2022-08-16;Receive and Note Reports;Pre-Cyclone Clean Up 2022 Update;Innovation;Standard Report
Ordinary Council;2022-08-16;Receive and Note Reports;Civic Centre Redevelopment Public Consultation Update;Corporate;Standard Report
Ordinary Council;2022-08-30;Action Reports;Review of Finance Policies;Corporate;Standard Report
Ordinary Council;2022-08-30;Information Item;Outgoing Correspondence - Minister for Immigration, Citizenship and Multicultural Affairs - A Pilot Migration Program Proposal (S TO CONFIRM IF CONF OR OPEN);Innovation;Information Item
Ordinary Council;2022-08-30;Information Item;Incoming Correspondence - Ambassador of Japan - Gratitude for Condolence Letter Received;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-09-13;Action Reports;Nominated Projects for Local Roads and Community Infrastructure Phase 3 Extension Funding;Corporate;Standard Report
Ordinary Council;2022-09-13;Information Item;Incoming Correspondence - Department of Infrastructure, Planning and Logistics (DIPL) - Black Spot Project 2022/23 Funding;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-09-13;Information Item;Outgoing Correspondence - Minister for Renewables and Energy - Requesting Update for Underground Power Lines;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-09-27;Receive and Note Reports;Night Time Economy 2020-21;Innovation;Standard Report
Ordinary Council;2022-09-27;Receive and Note Reports;Review of Plans and Processes for the Removal of Obsolete Footpaths;Corporate;Standard Report
Ordinary Council;2022-09-27;Information Item;Incoming Correspondence - Northern Territory Electoral Commission - Waters Ward By-Election;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-11-10;Notices of Motion;Notice of Motion - Obsolete Footpath Program;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2022-10-25;Action Reports;Darwin Oval Car Park Consultation;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-10-25;Receive and Note Reports;Provisional Monthly Financial Report - September 2022;Corporate;Standard Report
Ordinary Council;2022-11-15;Receive and Note Reports;Quarterly Performance Report: July - September 2022 (Q1);Corporate;Standard Report
Ordinary Council;2022-11-15;Receive and Note Reports;Irrigation - Play Space at Driffield Park Anula;Community;Standard Report
Ordinary Council;2022-11-15;Receive and Note Reports;East Point Reserve Advisory Committee Meeting Minutes 8 September 2022;Innovation;Standard Report
Ordinary Council;2022-11-29;Action Reports;Development Application - Lot 7587 (68) Mitchell Street, Darwin;Innovation;Standard Report
Ordinary Council;2022-11-29;Action Reports;Community Consultation Outcome - Walkway 191 - Koolama Crescent to McMillans Road Karama;Community;Standard Report
Ordinary Council;2022-11-29;Action Reports;Major Project Financial Threshold;Corporate;Standard Report
Ordinary Council;2022-11-29;Receive and Note Reports;Darwin Living Lab Update;Innovation;Standard Report
Ordinary Council;2022-06-12;Receive and Note Reports;Chief Executive Officer Gifts and Benefits Register;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-07-02;Action Reports;Sports Lighting Hours;Community;Standard Report
Ordinary Council;2023-07-02;Receive and Note Reports;Committee Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-07-02;Receive and Note Reports;Monthly Financial Report - December 2022;Corporate;Standard Report
Ordinary Council;2023-07-02;Information Item;Incoming Correspondence - Minister for Immigration, Citizenship and Multicultural Affairs - A Pilot Migration Program Proposal;Innovation;Information Item
Ordinary Council;2023-02-28;Receive and Note Reports;Monthly Financial Report - January 2023;Corporate;Standard Report
Ordinary Council;2023-02-28;Receive and Note Reports;Tier 2 Bi-Annual Performance Report: July - December 2022;Corporate;Standard Report
Ordinary Council;2023-03-28;Action Reports;2nd Budget Review 2022/2023;Corporate;Standard Report
Ordinary Council;2023-11-04;Action Reports;Image Management and Consent Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-11-04;Action Reports;Social Media Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-11-04;Action Reports;Review of Communications and Media Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-04-26;Receive and Note Reports;Elected Member Allowances 2023/24;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-04-26;Information Item;Incoming Correspondence - Department of the Chief Minister and Cabinet - Guideline for the Management of Human Remains;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2023-05-16;Receive and Note Reports;Unconfirmed Open Minutes - Risk Management and Audit Committee (RMAC) -  21 April 2023;Corporate;Standard Report
Ordinary Council;2023-05-30;Action Reports;Nightcliff Village Masterplan Update;Corporate;Standard Report
Ordinary Council;2023-05-30;Action Reports;Review of Community Inclusion Policy;Community;Standard Report
Ordinary Council;2023-05-30;Receive and Note Reports;Monthly Financial Report - April 2023;Corporate;Standard Report
Ordinary Council;2023-05-30;Receive and Note Reports;Engagement Outcomes - Municipal Plan 2023/24;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-05-30;Receive and Note Reports;Committee Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-06-27;Action Reports;In-Kind Support Policy;Innovation;Standard Report
Ordinary Council;2023-06-27;Action Reports;Outdoor Dining Application 72-76 Mitchell Street, Darwin City;Innovation;Standard Report
Ordinary Council;2023-11-07;Action Reports;Play Space Strategy 2023-2030;Community;Standard Report
Ordinary Council;2023-11-07;Action Reports;CBD Speed Limit Review;Innovation;Standard Report
Ordinary Council;2023-07-25;Action Reports;Outdoor Advertising Signs Code - Policy 042;Innovation;Standard Report
Ordinary Council;2023-08-29;Information Item;Incoming Correspondence - Northern Territory Remuneration Tribunal - Local Government Council Members' Allowances;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2023-09-26;Notices of Motion;Notice of Motion - Nightcliff Children's Crossing;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2023-09-26;Action Reports;Review of Compliance and Enforcement Policy, Enforcement Guidelines and Regulatory Miscellaneous Policy;Community;Standard Report
Ordinary Council;2023-09-26;Action Reports;Tree Advisory Committee Recommendations;Community;Standard Report
Ordinary Council;2023-09-26;Receive and Note Reports;Committee Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-10-17;Notices of Motion;Notice of Motion - Links Road Marrara - Traffic Review;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2023-10-17;Notices of Motion;Notice of Motion - City of Darwin Priority Projects Update;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2023-10-17;Action Reports;Planning Scheme Amendment - Telecommunications - PA2023/0101;Innovation;Standard Report
Ordinary Council;2023-10-17;Receive and Note Reports;Quarterly Performance Report - July to September 2023 (Q1);Corporate;Standard Report
Ordinary Council;2023-10-31;Action Reports;Public Toilet Hierarachy Classification Review;Community;Standard Report
Ordinary Council;2023-11-14;Action Reports;Review of Asset Management Policy;Corporate;Standard Report
Ordinary Council;2023-11-14;Receive and Note Reports;Unconfirmed Open Minutes - Risk Management and Audit Committee (RMAC) -  20 October 2023;Corporate;Standard Report
Ordinary Council;2023-11-14;Information Item;Incoming Correspondence - The Honourable Chief Minister - Reduced Speed Limits in the Darwin CBD;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2023-11-28;Action Reports;Regional Playground for Waters Ward;Community;Standard Report
Ordinary Council;2023-11-28;Action Reports;1st Budget Review 2023/2024;Corporate;Standard Report
Ordinary Council;2023-11-28;Action Reports;Review of Allocation of Surplus Funds Policy;Corporate;Standard Report
Ordinary Council;2023-11-28;Receive and Note Reports;Engagement Outcomes - Development of Masterplan for Bundilla Beach Area;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-11-28;Receive and Note Reports;Committee Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-11-28;Receive and Note Reports;Night Time Economy 2021-22;Innovation;Standard Report
Ordinary Council;2024-06-02;Action Reports;Review of Shared Services Policy;Corporate;Standard Report
Ordinary Council;2024-06-02;Action Reports;Letter to Minister for Education;Community;Standard Report
Ordinary Council;2024-06-02;Action Reports;Friendship City Proposal with the City of Quanzhou, China;Innovation;Standard Report
Ordinary Council;2024-06-02;Receive and Note Reports;Monthly Financial Report - December 2023;Corporate;Standard Report
Ordinary Council;2024-06-02;Information Item;Incoming Correspondence - Northern Territory Electoral Commission - 2023 Lyons Ward By-Election;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2024-02-27;Action Reports;Review of Funding Policy and Funding Guidelines;Innovation;Standard Report
Ordinary Council;2024-02-27;Receive and Note Reports;Monthly Financial Report - January 2024;Corporate;Standard Report
Ordinary Council;2024-02-27;Receive and Note Reports;Updated Oval Infrastructure Priorities;Community;Standard Report
Ordinary Council;2024-02-27;Receive and Note Reports;Nightcliff Village Masterplan Update;Corporate;Standard Report
Ordinary Council;2024-03-26;Action Reports;2nd Budget Review 2023/2024;Corporate;Standard Report
Ordinary Council;2024-03-26;Action Reports;Updated Terms of Reference for the Cyclone Tracy Commemoration Advisory Committee;Innovation;Standard Report
Ordinary Council;2024-03-26;Receive and Note Reports;Committee Meeting Open Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-03-26;Receive and Note Reports;Policy Management - 23rd Council Policy Review Schedule;Corporate;Standard Report
Ordinary Council;2024-03-26;Receive and Note Reports;Engagement Outcomes - Nightcliff Oval Changerooms Proposal;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-03-26;Information Item;Incoming Correspondence - Department of the Chief Minister and Cabinet - Elected Member Allowances 2024/2025;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2024-04-30;Action Reports;Submission to House of Representatives Standing Committee on Local Government Sustainability;Corporate;Standard Report
Ordinary Council;2024-04-30;Information Item;Incoming Correspondence - The Honourable Chief Minister - Crime Plan;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2024-05-28;Notices of Motion;Notice of Motion - Nightcliff / Rapid Creek Foreshore Lighting Assessment;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2024-05-28;Action Reports;Nomination to Animal Welfare Advisory Committee;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-05-28;Action Reports;Review of Commercial Outdoor Activities Policy;Innovation;Standard Report
Ordinary Council;2024-05-28;Receive and Note Reports;Monthly Financial Report - April 2024;Corporate;Standard Report
Ordinary Council;2024-11-06;Receive and Note Reports;Update on Code of Conduct Outcomes;Corporate;Standard Report
Ordinary Council;2024-11-06;Receive and Note Reports;Engagement Outcomes - Municipal Plan 2024/25;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-07-30;Action Reports;Grant Acquittal of Local Government Immediate Priority Grant 2021/22 – Animal Management Desexing and Awareness Program;Community;Standard Report
Ordinary Council;2024-07-30;Receive and Note Reports;Quarterly Performance Report - April to June 2024 (Q4);Corporate;Standard Report
Ordinary Council;2024-08-27;Action Reports;Trial Closure of the Intersections of Holmes Street and Playford Street Fannie Bay;Innovation;Standard Report
Ordinary Council;2024-08-27;Action Reports;Animal Protection Act Review;Community;Standard Report
Ordinary Council;2024-08-27;Receive and Note Reports;Interim Monthly Financial Report - July 2024;Corporate;Standard Report
Ordinary Council;2024-08-27;Receive and Note Reports;Advisory Committee Open Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-09-24;Notices of Motion;DEFERRED TO 29 OCTOBER - Notice of Motion - Parking in the Darwin City Centre;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2024-09-24;Action Reports;Updated Fees and Charges 2024/25;Corporate;Standard Report
Ordinary Council;2024-09-24;Action Reports;Nomination for Local Government Association of the Northern Territory (LGANT) Board;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-09-24;Receive and Note Reports;Interim Monthly Financial Report - August 2024;Corporate;Standard Report
Ordinary Council;2024-10-29;Notices of Motion;Notice of Motion - Community Batteries;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2024-10-29;Action Reports;Review of Gifts and Benefits Policies;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-11-26;Action Reports;Review of Environment Policy;Innovation;Standard Report
Ordinary Council;2024-11-26;Action Reports;Parking in the Darwin City Centre;Innovation;Standard Report
Ordinary Council;2024-11-26;Action Reports;Review of Elected Member Protocols and Interaction Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-11-26;Action Reports;Review of Asset Management Plan - Buildings and Structures;Corporate;Standard Report
Ordinary Council;2024-11-26;Receive and Note Reports;Monthly Financial Report - October 2024;Corporate;Standard Report
