meeting_type;meeting_date;section;title;department;report_type
Ordinary Council;2023-12-09;Notices of Motion;Notice of Motion - Regional Playground for Northern Suburbs;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2023-12-09;Action Reports;Appointments to Council Executive and Advisory Committees;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-09-26;Notices of Motion;Notice of Motion - Support for the Voice to Parliament;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2023-10-17;Action Reports;Submission to Senate Select Committee on Australia's Disaster Resilience;Corporate;Standard Report
Ordinary Council;2023-10-17;Receive and Note Reports;Engagement Outcomes - Chapel Lane Redevelopment;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-10-31;Action Reports;Black Spot Program 2024/25 Project Nominations;Innovation;Standard Report
Ordinary Council;2023-10-31;Receive and Note Reports;Review of Non-Default Speed Limits;Innovation;Standard Report
Ordinary Council;2023-10-31;Receive and Note Reports;Interim Monthly Financial Report - September 2023;Corporate;Standard Report
Ordinary Council;2023-10-31;Information Item;Incoming Correspondence - The Honourable Chief Minister - Chamber of Commerce Awards;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2023-11-14;Action Reports;Review of Procurement Policy;Corporate;Standard Report
Ordinary Council;2023-11-28;Action Reports;Adopt a Verge Program;Community;Standard Report
Ordinary Council;2023-11-28;Action Reports;Review of CCTV Management Policy;Corporate;Standard Report
Ordinary Council;2023-05-12;Information Item;Incoming Correspondence - Minister for Urban Housing - Public Housing in the Darwin Community;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2024-06-02;Action Reports;Review of Filling Casual Vacancies Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-06-02;Action Reports;Updated Terms of Reference Cyclone Tracy Commemoration Advisory Committee;Innovation;Standard Report
Ordinary Council;2024-06-02;Receive and Note Reports;Committee Meeting Open Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-02-27;Action Reports;Review of Corporate Credit Card Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-02-27;Receive and Note Reports;Links Road LATM and Pedestrian Crossing Facility Review;Innovation;Standard Report
Ordinary Council;2024-03-26;Receive and Note Reports;Monthly Financial Report - February 2024;Corporate;Standard Report
Ordinary Council;2024-04-30;Action Reports;Review of Investment Policy;Corporate;Standard Report
Ordinary Council;2024-04-30;Action Reports;Community Consultation Outcome - Walkway 190 - Koolama Court to Koojara Court Karama;Community;Standard Report
Ordinary Council;2024-04-30;Receive and Note Reports;Update on Code of Conduct Outcomes;Corporate;Standard Report
Ordinary Council;2024-05-28;Notices of Motion;Notice of Motion - Radge Court Malak;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2024-05-28;Action Reports;Interpretive Sign Proposal - WWII Fish Trap - Nightcliff Foreshore;Community;Standard Report
Ordinary Council;2024-05-28;Receive and Note Reports;Engagement Outcomes - Commercial Outdoor Activities Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-05-28;Receive and Note Reports;Advisory, Information Communication Technology (ICT) Steering and Risk Management and Audit Committee (RMAC) Open Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-11-06;Action Reports;Review of Accountable Forms Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-11-06;Action Reports;Review of Elected Members Expenses, Facilities and Support Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-07-30;Action Reports;Review of Alcohol in Council Controlled Spaces and Places Policy;Community;Standard Report
Ordinary Council;2024-07-30;Receive and Note Reports;Interim Monthly Financial Report - June 2024;Corporate;Standard Report
Ordinary Council;2024-08-13;Action Reports;Developing a Strategic Directions Planning Policy - NT Planning Commission;Innovation;Standard Report
Ordinary Council;2024-08-13;Action Reports;Cat Containment By-laws;Community;Standard Report
Ordinary Council;2024-08-13;Action Reports;Review of Confidential Information and Business Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-08-13;Action Reports;Review of Executive and Advisory Committees Terms of Reference;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-08-27;Action Reports;Access and Inclusion Advisory Committee Budget Recommendation;Community;Standard Report
Ordinary Council;2024-09-24;Action Reports;Smart City and Data Policy;Innovation;Standard Report
Ordinary Council;2024-09-24;Action Reports;Review of Confidential Decisions;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-09-24;Receive and Note Reports;Black Spot Program 2025/26 Project Nominations;Innovation;Standard Report
Ordinary Council;2024-09-24;Receive and Note Reports;Engagement Outcomes - Place and Liveability Plan;Innovation;Standard Report
Ordinary Council;2024-09-24;Information Item;Incoming and Outgoing Correspondence - Northern Territory Remuneration Tribunal - Local Government Council Members' Allowances;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2024-09-24;Information Item;Incoming Correspondence - Country Liberal Party - Election Commitments;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2024-10-29;Action Reports;Public Art and Cultural Development Policy;Community;Standard Report
Ordinary Council;2024-10-29;Receive and Note Reports;Interim Monthly Financial Report - September 2024;Corporate;Standard Report
Ordinary Council;2024-10-29;Receive and Note Reports;Quarterly Performance Report - July to September 2024 (Q1);Corporate;Standard Report
Ordinary Council;2024-11-26;Action Reports;Review of CEO Code of Conduct Policy;Corporate;Standard Report
Ordinary Council;2024-11-26;Action Reports;Review of Caretaker Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-11-26;Action Reports;1st Budget Review 2024/2025;Corporate;Standard Report
Ordinary Council;2024-11-26;Action Reports;Review of Meetings Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-11-26;Action Reports;Review of Information Communication Technology Steering and Risk Management and Audit Committee Terms of Reference;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-11-26;Receive and Note Reports;Advisory and Risk Management and Audit Committee (RMAC) Open Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-01-28;Action Reports;Place Names Application - Marrara Gardens - Naming of Five Roads;Innovation;Standard Report
Ordinary Council;2025-02-25;Action Reports;Cemetery Management Policies;Community;Standard Report
Ordinary Council;2025-02-25;Receive and Note Reports;Monthly Financial Report - January 2025;Corporate;Standard Report
Ordinary Council;2025-03-25;Action Reports;Review of Tourism Promotion Policy;Innovation;Standard Report
Ordinary Council;2025-03-25;Action Reports;Local Government Association of the Northern Territory Call for Motions;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-03-25;Action Reports;Review of Advisory and Other Committees Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-03-25;Action Reports;2nd Budget Review 2024/2025;Corporate;Standard Report
Ordinary Council;2025-04-29;Notices of Motion;Notice of Motion - Outdoor Advertising - Community Consultation;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2025-04-29;Notices of Motion;Notice of Motion - Installation of Safety Barriers;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2025-04-29;Action Reports;Waters Ward Multigenerational Recreation Space - Final Concept Design;Corporate;Standard Report
