abs_lga;suburb;census_year;state;category;sub_category;speaks_english_only;very_well_or_well;not_well_or_not_at_all;total_1;not_stated_b;total_2
Darwin;Stuart Park;2016;Northern Territory;;Vietnamese;;22.0;13.0;37.0;0.0;37.0
Darwin;The Gardens (NT);2016;Northern Territory;Chinese languages;Other(c);;0.0;0.0;0.0;0.0;0.0
Darwin;The Gardens (NT);2016;Northern Territory;;Spanish;;6.0;0.0;9.0;0.0;9.0
Darwin;The Narrows (NT);2016;Northern Territory;;French;;0.0;0.0;0.0;0.0;0.0
Darwin;The Narrows (NT);2016;Northern Territory;;Japanese;;0.0;0.0;0.0;0.0;0.0
Darwin;The Narrows (NT);2016;Northern Territory;;Thai;;4.0;0.0;4.0;0.0;4.0
Darwin;Wanguri;2016;Northern Territory;Chinese languages;Cantonese;;3.0;9.0;9.0;0.0;9.0
Darwin;Wanguri;2016;Northern Territory;Chinese languages;Mandarin;;19.0;13.0;28.0;0.0;28.0
Darwin;Woolner;2016;Northern Territory;;Italian;;0.0;0.0;0.0;0.0;0.0
Darwin;Woolner;2016;Northern Territory;;Korean;;3.0;4.0;11.0;0.0;11.0
Darwin;Wulagi;2016;Northern Territory;Indo-Aryan languages;Punjabi;;3.0;0.0;3.0;0.0;3.0
Darwin;Wulagi;2016;Northern Territory;;Language spoken at home not stated;;16.0;0.0;14.0;196.0;212.0
Darwin;Alawa;2016;Northern Territory;;Maltese;;0.0;0.0;0.0;0.0;0.0
Darwin;Alawa;2016;Northern Territory;;Persian (excluding Dari);;0.0;0.0;0.0;0.0;0.0
Darwin;Anula;2016;Northern Territory;;Australian Indigenous Languages;;4.0;0.0;9.0;0.0;9.0
Darwin;Anula;2016;Northern Territory;Southeast Asian Austronesian languages;Filipino;;27.0;0.0;27.0;0.0;27.0
Darwin;Anula;2016;Northern Territory;Southeast Asian Austronesian languages;Other(e);;12.0;0.0;9.0;0.0;9.0
Darwin;Bayview (NT);2016;Northern Territory;;Dutch;;0.0;0.0;0.0;0.0;0.0
Darwin;Bayview (NT);2016;Northern Territory;Indo-Aryan languages;Other(d);;4.0;0.0;4.0;0.0;4.0
Darwin;Casuarina (NT);2016;Northern Territory;;Turkish;;0.0;0.0;0.0;0.0;0.0
Darwin;Coonawarra (NT);2016;Northern Territory;;Samoan;;0.0;0.0;0.0;0.0;0.0
Darwin;Coonawarra (NT);2016;Northern Territory;;Serbian;;0.0;0.0;0.0;0.0;0.0
Darwin;Eaton (NT);2016;Northern Territory;Chinese languages;Cantonese;;0.0;0.0;0.0;0.0;0.0
Darwin;Eaton (NT);2016;Northern Territory;;Vietnamese;;0.0;0.0;0.0;0.0;0.0
Darwin;Fannie Bay;2016;Northern Territory;Chinese languages;Mandarin;;10.0;0.0;18.0;0.0;18.0
Darwin;Fannie Bay;2016;Northern Territory;Chinese languages;Other(c);;9.0;0.0;18.0;0.0;18.0
Darwin;Fannie Bay;2016;Northern Territory;;Samoan;;0.0;0.0;0.0;0.0;0.0
Darwin;Jingili;2016;Northern Territory;;Speaks English only;1259.0;;;;;1259.0
Darwin;Jingili;2016;Northern Territory;;Russian;;0.0;0.0;0.0;0.0;0.0
Darwin;Karama;2016;Northern Territory;;Afrikaans;;0.0;0.0;0.0;0.0;0.0
Darwin;Karama;2016;Northern Territory;Indo-Aryan languages;Urdu;;22.0;0.0;21.0;0.0;21.0
Darwin;Larrakeyah;2016;Northern Territory;;Macedonian;;3.0;0.0;3.0;0.0;3.0
Darwin;Larrakeyah;2016;Northern Territory;;Serbian;;0.0;0.0;0.0;0.0;0.0
Darwin;Larrakeyah;2016;Northern Territory;;Turkish;;3.0;4.0;7.0;0.0;7.0
Darwin;Leanyer;2016;Northern Territory;;Arabic;;14.0;0.0;14.0;0.0;14.0
Darwin;Leanyer;2016;Northern Territory;Indo-Aryan languages;Sinhalese;;21.0;0.0;21.0;0.0;21.0
Darwin;Ludmilla;2016;Northern Territory;;Italian;;0.0;0.0;0.0;0.0;0.0
Darwin;Ludmilla;2016;Northern Territory;;Japanese;;0.0;0.0;0.0;0.0;0.0
Darwin;Malak;2016;Northern Territory;;Afrikaans;;0.0;0.0;0.0;0.0;0.0
Darwin;Malak;2016;Northern Territory;Indo-Aryan languages;Bengali;;0.0;0.0;0.0;0.0;0.0
Darwin;Malak;2016;Northern Territory;Indo-Aryan languages;Sinhalese;;5.0;0.0;5.0;0.0;5.0
Darwin;Malak;2016;Northern Territory;Indo-Aryan languages;Urdu;;18.0;0.0;21.0;0.0;21.0
Darwin;Malak;2016;Northern Territory;;Maltese;;0.0;0.0;0.0;0.0;0.0
Darwin;Malak;2016;Northern Territory;;Tamil;;8.0;0.0;9.0;0.0;9.0
Darwin;Moil;2016;Northern Territory;Chinese languages;Mandarin;;13.0;23.0;32.0;0.0;32.0
Darwin;Moil;2016;Northern Territory;;Macedonian;;0.0;0.0;0.0;0.0;0.0
Darwin;Moil;2016;Northern Territory;Southeast Asian Austronesian languages;Filipino;;29.0;4.0;38.0;0.0;38.0
Darwin;Muirhead;2016;Northern Territory;Indo-Aryan languages;Other(d);;52.0;3.0;60.0;0.0;60.0
Darwin;Nightcliff;2016;Northern Territory;Chinese languages;Mandarin;;28.0;11.0;42.0;0.0;42.0
Darwin;Nightcliff;2016;Northern Territory;;Korean;;12.0;3.0;10.0;0.0;10.0
Darwin;Parap;2016;Northern Territory;;Afrikaans;;11.0;0.0;11.0;0.0;11.0
Darwin;Parap;2016;Northern Territory;Indo-Aryan languages;Hindi;;9.0;0.0;10.0;0.0;10.0
Darwin;Parap;2016;Northern Territory;;Russian;;4.0;0.0;5.0;0.0;5.0
Darwin;Parap;2016;Northern Territory;;Tamil;;16.0;0.0;19.0;0.0;19.0
Darwin;Rapid Creek;2016;Northern Territory;Indo-Aryan languages;Urdu;;19.0;3.0;17.0;0.0;17.0
Darwin;Rapid Creek;2016;Northern Territory;Indo-Aryan languages;Other(d);;104.0;12.0;119.0;0.0;119.0
Darwin;Stuart Park;2016;Northern Territory;Indo-Aryan languages;Sinhalese;;23.0;0.0;23.0;0.0;23.0
Darwin;Stuart Park;2016;Northern Territory;Southeast Asian Austronesian languages;Other(e);;9.0;0.0;9.0;0.0;9.0
Darwin;Stuart Park;2016;Northern Territory;;Other(f);;113.0;17.0;133.0;3.0;131.0
Darwin;Stuart Park;2016;Northern Territory;;Language spoken at home not stated;;5.0;0.0;8.0;517.0;525.0
Darwin;The Gardens (NT);2016;Northern Territory;;Croatian;;0.0;0.0;0.0;0.0;0.0
Darwin;Tiwi;2016;Northern Territory;;Greek;;90.0;27.0;112.0;0.0;112.0
Darwin;Wagaman;2016;Northern Territory;;Australian Indigenous Languages;;16.0;0.0;18.0;0.0;18.0
Darwin;Wagaman;2016;Northern Territory;;Turkish;;0.0;0.0;0.0;0.0;0.0
Darwin;Winnellie;2016;Northern Territory;;Dutch;;0.0;0.0;0.0;0.0;0.0
Darwin;Winnellie;2016;Northern Territory;;Italian;;0.0;0.0;0.0;0.0;0.0
Darwin;Winnellie;2016;Northern Territory;Southeast Asian Austronesian languages;Tagalog;;0.0;0.0;0.0;0.0;0.0
Darwin;Woolner;2016;Northern Territory;;Dutch;;5.0;0.0;5.0;0.0;5.0
Darwin;Woolner;2016;Northern Territory;;German;;0.0;0.0;0.0;0.0;0.0
Darwin;Woolner;2016;Northern Territory;;Greek;;22.0;3.0;26.0;0.0;26.0
