abs_lga;census_year;suburb;state;country_of_birth;0_4_years;5_14_years;15_24_years;25_44_years;45_54_years;55_64_years;65_74_years;75_84_years;85_years_and_older;total
Darwin;2016;Parap;Northern Territory;Afghanistan;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0
Darwin;2016;Parap;Northern Territory;France;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Parap;Northern Territory;Greece;0.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;0.0;4.0
Darwin;2016;Parap;Northern Territory;Ireland;0.0;3.0;9.0;42.0;0.0;3.0;0.0;0.0;0.0;60.0
Darwin;2016;Rapid Creek;Northern Territory;Singapore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
Darwin;2016;Rapid Creek;Northern Territory;Born elsewhere(e);3.0;14.0;8.0;59.0;21.0;10.0;8.0;0.0;0.0;124.0
Darwin;2016;Stuart Park;Northern Territory;Mauritius;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
Darwin;2016;Stuart Park;Northern Territory;Singapore;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;11.0
Darwin;2016;Stuart Park;Northern Territory;Thailand;0.0;0.0;0.0;18.0;3.0;0.0;0.0;0.0;0.0;26.0
Darwin;2016;The Gardens (NT);Northern Territory;Cambodia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;The Gardens (NT);Northern Territory;Sri Lanka;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0
Darwin;2016;The Narrows (NT);Northern Territory;Bangladesh;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;The Narrows (NT);Northern Territory;Born elsewhere(e);0.0;0.0;0.0;4.0;0.0;0.0;3.0;0.0;0.0;14.0
Darwin;2016;Tiwi;Northern Territory;Iraq;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Tiwi;Northern Territory;Poland;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;4.0
Darwin;2016;Tiwi;Northern Territory;Taiwan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Winnellie;Northern Territory;Fiji;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Winnellie;Northern Territory;Turkey;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Winnellie;Northern Territory;Vietnam;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Winnellie;Northern Territory;Country of Birth Not stated;0.0;0.0;0.0;11.0;6.0;10.0;5.0;0.0;0.0;28.0
Darwin;2016;Woolner;Northern Territory;Iran;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0
Darwin;2016;Wulagi;Northern Territory;Korea, Republic of (South);0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;9.0
