animal_name;animal_sex;animal_type;animal_neut;main_breed;second_breed;main_color;second_color;suburb_name
Jagger;M;Dog;Y;Bull Arab;Darwin Special;Brindle;White;MOIL
Kiko;M;Dog;Y;Staffordshire Bull Terrier;;Black;White;WULAGI
Penny;F;Dog;Y;Dachshund (Miniature);;Black;Tan;LUDMILLA
Moei;F;Dog;Y;Labrador;Cross Breed;Yellow;;MALAK
Bruno;M;Dog;N;Beagle;;Unknown;;MUIRHEAD
\N;F;Dog;Y;Cavoodle;;Red;White;WANGURI
Chilli;F;Dog;Y;Kelpie;;Red;;JINGILI
Gani;F;Dog;Y;Australian Cattle Dog;Unknown;Red;;NAKARA
Gus;M;Dog;N;Gordon Setter;;Black;Tan;NIGHTCLIFF
Peanut;F;Dog;Y;Spoodle;;Red;;MARRARA
Diego;M;Dog;N;Labrador;;Yellow;;PARAP
Sarge;M;Dog;Y;Labrador;;Black;;NAKARA
Dardy;M;Dog;Y;Mixed Breed;;Black;;COCONUT GROVE
Zuko;M;Dog;Y;Mixed Breed;;Brown;;LARRAKEYAH
Unknown;U;Dog;Y;Greyhound;;Brindle;;MALAK
Suri;F;Dog;Y;Labrador;;Brown;;RAPID CREEK
Lija;M;Cat;Y;Domestic Short Haired;;Black;;NAKARA
Lucy;F;Cat;Y;Domestic Short Haired;;Tabby;;NAKARA
Maya;F;Cat;Y;Domestic Short Haired;;Black;;LYONS
Oakley Core;M;Dog;Y;Golden Retriever;;Gold;;NAKARA
Foxi;M;Cat;Y;Tonkinese;;Chocolate;;WAGAMAN
Bruce;M;Dog;Y;Collie;Poodle;Black;White;JINGILI
Artemis;M;Cat;Y;Domestic Short Haired;;Ginger;White;RAPID CREEK
Bonnie;F;Dog;Y;Mixed Breed;;Tan;;MALAK
Binja;M;Dog;Y;Blue Heeler;;Blue;;LUDMILLA
Mia;F;Dog;Y;Dachshund (Miniature);;Black;Tan;MUIRHEAD
Yoda;M;Dog;N;French Bulldog;;White;Tan;ALAWA
Lucky;F;Cat;Y;Domestic Short Haired;;Black;;JINGILI
Lycan;M;Dog;Y;Kelpie;;Black;;PARAP
Paterson;M;Dog;Y;Fox Terrier;Mixed Breed;White;Brown;BRINKIN
Chip;M;Dog;Y;Dobermann;Labrador;Black;White;LUDMILLA
Jazz;F;Dog;Y;Mixed Breed;;Brown;;LEANYER
Doza;U;Dog;Y;Mixed Breed;;Brown;;JINGILI
Rhino;M;Dog;Y;English Staffordshire Bull Terrier;;Blue;Grey;PARAP
Ronnie;M;Dog;Y;Dalmatian;;White;Liver;MARRARA
Willow;F;Dog;Y;Bull Arab;;Black;White;BAYVIEW
Fluffy;U;Dog;Y;Cavoodle;;Red;;MOIL
Bluey;M;Dog;Y;Unknown;;Black;White;BERRIMAH
Bella;F;Dog;Y;Chihuahua;;Tan;Black;STUART PARK
Maggie;F;Dog;Y;Labrador;;Black;;LYONS
Reggie;M;Dog;Y;Jack Russell Terrier;Cross Breed;Black;White;KARAMA
Ragna;M;Dog;Y;Jack Russell Terrier;Cross Breed;Black;White;KARAMA
Mittens;F;Cat;Y;Domestic Short Haired;;Mixed Colours;;KARAMA
Ivy;F;Dog;Y;Catahoula;Darwin Special;Black;White;MILLNER
Roy;M;Dog;Y;Maltese;Poodle;Black;White;MOIL
Henry;M;Dog;Y;Greyhound;;Black;;TIWI
Ziggy;M;Dog;Y;Jack Russell Terrier;;Unknown;;KARAMA
Luna;F;Dog;Y;Kelpie;;Black;Tan;WAGAMAN
Zeus;M;Dog;Y;American Staffordshire Terrier;;Grey;;MUIRHEAD
Wally;M;Dog;Y;Greyhound;;Brindle;;JINGILI
Charles;M;Dog;Y;Australian Cattle Dog;Cross Breed;Black;Brown;LEANYER
Cooper;M;Dog;Y;Australian Cattle Dog;Cross Breed;Tan;;LEANYER
Lionel;M;Cat;Y;Domestic Short Haired;;Ginger;;MILLNER
Molly;F;Dog;Y;German Shepherd Dog;;Black;Tan;TIWI
Ollie;M;Cat;N;Domestic Short Haired;;Tabby;;LYONS
Dexter;M;Cat;Y;Domestic Short Haired;;Ginger;;MUIRHEAD
Remy;F;Dog;N;American Staffordshire Terrier;;Blue;White;ANULA
Chilli;F;Dog;Y;Australian Cattle Dog;;Red;;MUIRHEAD
Vali;M;Dog;Y;German Shepherd Dog;;Black;Tan;MUIRHEAD
Odin;M;Dog;Y;German Shepherd Dog;;Black;Tan;MUIRHEAD
Luna;F;Dog;Y;Dachshund (Miniature);;Tan;;LEANYER
Stretchy;M;Cat;Y;Domestic Short Haired;;Tabby;;PARAP
Jaeger;M;Dog;N;Belgian Malinois;;Fawn;;MUIRHEAD
Scout;M;Dog;Y;Border Collie;Cross Breed;Black;White;MALAK
TGR;M;Dog;Y;Pomeranian;Cross Breed;White;Tan;LYONS
Molly;F;Dog;Y;Groodle;;Gold;White;FANNIE BAY
Odin;M;Dog;Y;French Bulldog;Pug;Brindle;;LYONS
Killa;F;Dog;Y;Staffordshire Bull Terrier;Kelpie;Black;;MILLNER
Miss Sahara;F;Dog;Y;German Shepherd Dog;Husky;Black;Tri Colour;TIWI
Lily;F;Dog;Y;Cross Breed;;Tan;;NIGHTCLIFF
Messi;M;Dog;Y;Bull Arab;Bullmastiff;White;Brown;WAGAMAN
Kaiser;M;Dog;Y;German Shepherd Dog;;Black;Tan;KARAMA
Millie;F;Dog;Y;Spoodle;;Red;;ANULA
Bosun;M;Dog;N;Mixed Breed;Unknown;Tan;White;WANGURI
Beethoven;M;Dog;N;Poodle;Cross Breed;White;;NIGHTCLIFF
Sarah;F;Dog;Y;Chihuahua;Corgi;White;;MALAK
Jax;M;Dog;N;Great Dane;;Black;White;NIGHTCLIFF
Arlo;M;Dog;Y;Australian Cattle Dog;Irish Wolfhound;Black;White;MALAK
Ginger;M;Cat;Y;Domestic Short Haired;;Ginger;;BRINKIN
Aitch;U;Dog;Y;American Staffordshire Terrier;Cross Breed;Tan;Brindle;KARAMA
Maggie Bell;M;Dog;Y;Australian Cattle Dog;;Black;White;MILLNER
Huey Clegg;M;Dog;N;German Short Haired Pointer;;Liver;;MUIRHEAD
Bosun;M;Dog;Y;Cavalier King Charles Spaniel;;Black;;JINGILI
Harry;M;Dog;Y;Staffordshire Bull Terrier;Border Collie;Black;White;ALAWA
Lui;M;Dog;Y;Rottweiler;;Black;Tan;KARAMA
Princess;F;Dog;N;Boxer;Catahoula;Brown;;WAGAMAN
Winnie;F;Dog;Y;Maltese;Shih Tzu;Black;White;PARAP
Harley;F;Dog;N;American Staffordshire Terrier;;Tan;;MALAK
Wombat;M;Dog;Y;Mixed Breed;;Brown;;KARAMA
Loki;M;Dog;Y;Great Dane;Bullmastiff;Brown;Black;ANULA
Storm;F;Dog;Y;Mixed Breed;;Brindle;;FANNIE BAY
Cotton;F;Dog;Y;Maltese;;Cream;;MUIRHEAD
Moritz;M;Cat;Y;Domestic Short Haired;;Tabby;;MILLNER
Max;M;Cat;Y;Domestic Short Haired;;Tabby;;MILLNER
Roxy;F;Dog;Y;Jack Russell Terrier;;White;Brown;PARAP
Luna;F;Cat;Y;Domestic Short Haired;;Black;;NAKARA
Nabiwo;F;Dog;Y;Mixed Breed;;Sandy;Brown;MALAK
Jebote;M;Dog;N;Dobermann;;Black;Tan;RAPID CREEK
Archie;M;Dog;Y;Border Collie;;Black;White;LYONS
Doc;M;Dog;Y;Staffordshire Bull Terrier;Beagle;Tan;White;MUIRHEAD
Unknown;F;Dog;Y;Rhodesian Ridgeback;Cross Breed;Tan;;LEANYER
Tiger;M;Dog;N;Cross Breed;;Unknown;;ALAWA
1;M;Dog;Y;Labrador;;Black;;WANGURI
Peewee;F;Dog;Y;Shih Tzu;Cross Breed;Brown;;WINNELLIE
Bronco;M;Dog;N;German Shepherd Dog;;Sable;;WANGURI
Chase;M;Dog;Y;Border Collie;;Black;Tan;LEANYER
Arlo;M;Dog;Y;Golden Retriever;;Gold;;LEANYER
Groot;M;Dog;Y;Catahoula;Mixed Breed;Black;Brown;STUART PARK
Charcoal;M;Cat;Y;Domestic Short Haired;;Black;;WAGAMAN
Bella;F;Dog;Y;Maltese;Shih Tzu;White;Brown;MUIRHEAD
Lotti;F;Cat;Y;Tabby;;Grey;;WULAGI
Abby;F;Dog;Y;Labradoodle;;Black;;JINGILI
Maxie;F;Dog;Y;Labradoodle;;Black;;JINGILI
Meike;M;Dog;Y;Maltese;Unknown;White;;LEANYER
Fifi;F;Dog;Y;Mixed Breed;;Blue;;FANNIE BAY
Mellow;M;Dog;Y;Darwin Special;;Black;White;NAKARA
Koda;F;Dog;Y;Blue Heeler;;Blue;Roan;WULAGI
Whitney;F;Dog;Y;Dachshund;Shih Tzu;Tan;Brown;TIWI
Maisy;F;Dog;N;Mastiff;;Unknown;;WAGAMAN
Oreo;F;Dog;Y;Bandog;Shar Pei;Black;;LEANYER
Buddy Boy;M;Dog;Y;Australian Cattle Dog;;Red;Roan;LARRAKEYAH
Unknown;M;Dog;N;Staffordshire Bull Terrier;Cross Breed;White;;KARAMA
Bonnie;F;Dog;Y;Shar Pei;;Tan;;STUART PARK
Milly;F;Dog;Y;Labrador;;Brown;;ANULA
Boof;M;Dog;Y;Mixed Breed;;Brindle;;LYONS
Keith;M;Dog;Y;Labrador;;Black;;WULAGI
Choppa;M;Dog;N;Staffordshire Bull Terrier;Mixed Breed;Black;White;KARAMA
Albie;M;Dog;Y;Bullmastiff;;Tan;;LARRAKEYAH BARRACKS
Chilli;F;Dog;N;Golden Retriever;;Gold;;NAKARA
Jija;F;Dog;Y;Kelpie;;Unknown;;TIWI
Eddie;M;Dog;Y;German Shepherd Dog;;Black;Tan;KARAMA
Toffee;F;Dog;Y;Jack Russell Terrier;;Tan;White;MALAK
Unknown;U;Dog;Y;Bull Arab;Cross Breed;White;;NAKARA
Nugget;M;Dog;Y;Jack Russell Terrier;Chihuahua;Tan;Black;MOIL
Sox;M;Dog;Y;Jack Russell Terrier;Chihuahua;Black;White;MOIL
Ebony;F;Dog;Y;Darwin Special;;Black;;WULAGI
Bernie;M;Dog;Y;English Staffordshire Bull Terrier;;Blue;;LUDMILLA
Aragorn;M;Dog;Y;Belgian Malinois;;Fawn;Tan;ANULA
Peppa;M;Dog;Y;Bull Arab;Cross Breed;Brown;;LEANYER
Sahara;F;Dog;Y;Great Dane;Cross Breed;Black;;KARAMA
Bella;F;Dog;Y;Jack Russell Terrier;;White;Tan;COCONUT GROVE
Rosie;F;Dog;Y;Poodle;;White;Black;MOIL
Jerry;M;Dog;Y;Pomeranian;Terrier;Tan;;FANNIE BAY
Merlin;M;Dog;Y;Darwin Special;;Brown;;KARAMA
Odin;M;Dog;Y;Great Dane;Irish Wolfhound;Chocolate;Brown;LUDMILLA
Nefertiti;F;Cat;Y;Domestic Short Haired;;Tabby;White;BRINKIN
Farouk Balsara;M;Cat;Y;Domestic Short Haired;;Ginger;;ANULA
Frankie;F;Dog;Y;Blue Heeler;;Blue;Brown;PARAP
Daisy Jones;F;Dog;Y;Italian Greyhound;;Tan;White;DARWIN
Misty;M;Cat;Y;Domestic Short Haired;;Grey;;ANULA
Pat;M;Dog;Y;Dalmatian;;Black;White;FANNIE BAY
Rango;M;Dog;Y;Dutch Shepherd;;Brindle;;WANGURI
Jedda;F;Dog;Y;Belgian Malinois;;Fawn;Black;ANULA
Oaklie-May;F;Dog;Y;Dachshund;;Tan;;LARRAKEYAH BARRACKS
Lenny;U;Dog;Y;Labrador;Cross Breed;Black;;KARAMA
Balthazar;M;Cat;Y;Domestic Short Haired;;Grey;Black;MILLNER
Bear;M;Dog;Y;Labrador Retriever;;Black;;MUIRHEAD
Sunshine;F;Dog;Y;Cocker Spaniel;;Gold;;RAPID CREEK
Opie;M;Dog;Y;French Bulldog;;Brindle;;MUIRHEAD
Unknown;F;Cat;Y;Domestic Short Haired;;Grey;Black;ALAWA
Charlie Brown;M;Dog;Y;Cavoodle;;Red;;KARAMA
Tonka;M;Dog;Y;Rottweiler;;Black;Tan;LUDMILLA
Onyx;F;Dog;Y;Rottweiler;;Black;Tan;LUDMILLA
Bailey;F;Dog;Y;Kelpie;German Short Haired Pointer;Brown;;LUDMILLA
Pepper;F;Dog;Y;Australian Cattle Dog;Bull Arab;Grey;;WULAGI
Jackie;F;Dog;Y;Belgian Malinois;;Tan;;LYONS
Ozzy;M;Dog;Y;Mixed Breed;;Brindle;;LARRAKEYAH BARRACKS
Pip;F;Dog;Y;Staffordshire Bull Terrier;Red Heeler;Red;Brindle;RAPID CREEK
Shady;M;Dog;N;Kelpie;;Black;Tan;NIGHTCLIFF
Toby;M;Dog;Y;Chihuahua;Pomeranian;Black;;LYONS
Money;M;Dog;Y;Cavalier King Charles Spaniel;Jack Russell Terrier;Brown;Black;KARAMA
Isla;F;Dog;N;Australian Shepherd;;Blue;Tri Colour;MUIRHEAD
Henry;M;Dog;Y;Maltese;;White;;KARAMA
Lyle;M;Dog;N;Golden Retriever;;Gold;;LYONS
Figgy;M;Cat;Y;Domestic Short Haired;;Ginger;White;NAKARA
Bada;F;Dog;Y;Huntaway;Cross Breed;Black;White;MILLNER
Diana;F;Dog;Y;Bull Arab;Cross Breed;Brown;;ANULA
Soju;F;Cat;Y;Domestic Short Haired;;Tabby;Ginger;LEANYER
Kimchi;F;Cat;Y;Domestic Short Haired;;Black;;LEANYER
Penny;F;Dog;Y;Cocker Spaniel;;Black;Tan;MUIRHEAD
Tikka;M;Dog;Y;Mixed Breed;;Brindle;;THE NARROWS
Johnny;M;Dog;Y;Greyhound;;Black;;WULAGI
Mocha;F;Dog;Y;Border Collie;;Black;White;LYONS
Freya Dog;F;Dog;N;Dachshund (Smooth);;Unknown;;MILLNER
Horatio;M;Dog;N;Dachshund;;Black;Tan;MILLNER
Hades;M;Dog;N;Chihuahua;Pug;Brown;White;MALAK
Blue;M;Dog;Y;Mixed Breed;;Tan;White;JINGILI
Rosy;F;Dog;Y;Cocker Spaniel;Cross Breed;Chocolate;White;PARAP
Terra;F;Dog;Y;Catahoula;Kelpie;Tan;;LEANYER
Rue;F;Dog;Y;Shar Pei;Staffordshire Bull Terrier;Fawn;;WAGAMAN
Jade;F;Dog;Y;Bull Arab;Rhodesian Ridgeback;Tan;White;ANULA
Jenna;F;Dog;Y;Cavoodle;;Red;Brown;KARAMA
Harlow;F;Cat;Y;Domestic Short Haired;;Tabby;;LUDMILLA
Asha;F;Dog;Y;German Shepherd Dog;Samriever;White;;RAPID CREEK
Jaxon;M;Dog;N;Staffordshire Bull Terrier;;Blue;;RAPID CREEK
Minty;F;Dog;Y;Cross Breed;;Grey;Brindle;BERRIMAH
Ru;F;Cat;N;Domestic Short Haired;;Tabby;;ANULA
Murphey;M;Dog;Y;Collie;Labrador;Black;White;LEANYER
Raso;F;Dog;Y;Saluki;Cross Breed;Tan;;LUDMILLA
Ninja;F;Cat;Y;Domestic Short Haired;;Black;White;KARAMA
Kenzie;F;Dog;Y;Cross Breed;;Black;White;FANNIE BAY
Hazel;F;Cat;Y;Domestic Short Haired;;Tortiseshell;;KARAMA
Banjo;M;Dog;Y;Mixed Breed;;Tan;;WULAGI
Red;M;Dog;N;Bull Arab;;White;Brindle;LEANYER
Delilah;F;Dog;Y;Staffordshire Bull Terrier;;Blue;;ANULA
Charlie;M;Dog;Y;Border Collie;;Tri Colour;Chocolate;STUART PARK
Diva;F;Dog;Y;Shar Pei;;Tan;;MALAK
Kahurangi;M;Dog;Y;Blue Heeler;;Blue;;PARAP
Lucky;M;Dog;Y;Kelpie;Cross Breed;Brown;;WAGAMAN
Coco Bean;F;Dog;Y;Chihuahua;;Tan;Black;ANULA
Dexter;M;Dog;Y;Great Dane;Cross Breed;Brindle;White;NAKARA
Unknown;F;Dog;Y;Chihuahua;Cross Breed;Black;White;WANGURI
Hazel;F;Dog;Y;Shar Pei;;Tan;;MALAK
Boss;M;Dog;N;Maltese;;White;;WULAGI
Archer;M;Dog;Y;Labradoodle;;Cream;;ALAWA
Murphy;F;Dog;Y;Blue Heeler;Cross Breed;Black;White;NAKARA
Koda Griffey;M;Dog;Y;Maltese;Shih Tzu;Tri Colour;;MOIL
Kevin Griffey;M;Cat;Y;Domestic Short Haired;;Unknown;;MOIL
Teddy;M;Dog;Y;Border Collie;Labrador;Wheaten;White;LYONS
Patch;F;Dog;Y;Blue Heeler;;Blue;;LUDMILLA
Willow;F;Dog;N;Unknown;;Chocolate;;WANGURI
Pepsi;M;Dog;Y;Maltese;Mixed Breed;Grey;;MOIL
Mari;F;Dog;N;Staffordshire Bull Terrier;Mixed Breed;Black;;KARAMA
Bule;M;Dog;N;Unknown;;Brown;;MALAK
Luna;F;Dog;Y;Bordodle (Mini);;Black;White;LARRAKEYAH BARRACKS
Esper;F;Dog;Y;Bull Terrier;Bull Arab;White;;KARAMA
Ronny;M;Dog;Y;Jack Russell Terrier;;White;;NIGHTCLIFF
Charlie;M;Dog;Y;Border Collie;;Black;White;WANGURI
Biggie Smalls;M;Dog;N;Dachshund;;Brown;Tan;DARWIN
Unknown;F;Dog;Y;Mixed Breed;;Brown;;MALAK
Stevie Gill;M;Dog;Y;Bull Terrier;Cross Breed;Ginger;;LUDMILLA
Moose;M;Dog;Y;Border Collie;;Brown;;MOIL
Selene;F;Cat;Y;Domestic Short Haired;;Black;White;NIGHTCLIFF
Terra;F;Dog;Y;Mixed Breed;;Tri Colour;;KARAMA
Buddy Boy;M;Dog;N;Pit Bull Terrier;;Tan;;KARAMA
Spud;M;Dog;Y;Staffordshire Bull Terrier;Cross Breed;Black;;JINGILI
Baxter;M;Dog;Y;Labrador;;Chocolate;;JINGILI
Chopper;M;Dog;Y;Blue Heeler;Jack Russell Terrier;Black;White;KARAMA
Alaska;F;Dog;Y;Staffordshire Bull Terrier;Cross Breed;Black;;RAPID CREEK
Rusty;M;Dog;Y;Red Heeler;Staffordshire Bull Terrier;Brown;;ANULA
Archie;M;Dog;N;Cocker Spaniel;;Black;Tan;LEANYER
Bagheera;M;Dog;N;Unknown;;Blue;Tabby;LARRAKEYAH BARRACKS
Noah;M;Cat;Y;Domestic Short Haired;;Black;;MOIL
Unkown;F;Dog;Y;Mixed Breed;;White;;LYONS
Louie;M;Dog;N;Shelti;;Tri Colour;;BAYVIEW
Coco;F;Dog;Y;Maltese;;White;;MOIL
Diesel Bear;M;Dog;Y;Cavoodle;;Tan;;WULAGI
Queen;F;Dog;Y;German Shepherd Dog;;Black;White;WAGAMAN
Millie;F;Dog;Y;Mixed Breed;;Black;;MARRARA
Ted;M;Dog;N;Darwin Special;;Tan;;FANNIE BAY
Jill;F;Dog;Y;Mixed Breed;;Black;White;WULAGI
Angel;F;Dog;Y;Mixed Breed;;Brown;White;TIWI
Maple;F;Dog;Y;Darwin Special;Australian Cattle Dog;White;Tan;JINGILI
Oscar;M;Dog;Y;Kelpie;;Black;Tan;ANULA
Maple;F;Dog;Y;Labrador;Cross Breed;Black;;LYONS
Lina;F;Dog;N;Golden Retriever;;Gold;;WULAGI
PepperCorn;M;Dog;Y;Cane Corso;Cross Breed;Brindle;;LEANYER
Boss;M;Dog;Y;Mixed Breed;;Brindle;;ANULA
Rocky;M;Dog;Y;Bull Arab;Cross Breed;Brown;White;LYONS
Lilly;F;Dog;Y;Darwin Special;;Tan;;LYONS
Neo;M;Dog;Y;Staffordshire Bull Terrier;;Brindle;;LYONS
Cylde;M;Dog;Y;Dachshund;;Black;Brown;ANULA
Winnie;F;Dog;Y;Golden Retriever;;Gold;;THE NARROWS
Scooter;F;Dog;Y;Jack Russell Terrier;Chihuahua;Tri Colour;;WULAGI
Marlow;F;Dog;Y;Rhodesian Ridgeback;Cross Breed;White;Tan;RAPID CREEK
Henry;M;Dog;Y;Cocker Spaniel;Cross Breed;Orange;White;PARAP
Rosie-Mae;M;Dog;Y;Labradoodle;;Gold;;MARRARA
Connan;M;Dog;Y;Coolie;;Grey;;JINGILI
Alfie;M;Dog;Y;Boxer;;Brown;Brindle;COCONUT GROVE
Mallory;F;Dog;Y;Fox Terrier (Miniature);;White;Black;MALAK
Ollie;M;Dog;Y;Border Collie;;Black;White;ANULA
Nezumi;F;Cat;N;Domestic Short Haired;;Black;;ALAWA
Diesel;M;Dog;N;Chihuahua;;Brown;;MALAK
Nara;F;Dog;N;Dingo;Cross Breed;Tan;;ALAWA
Mace;F;Dog;Y;German Shepherd Dog;;Black;Tan;LEANYER
Jaffa;F;Cat;Y;Domestic Short Haired;;Tabby;;LEANYER
Danu;M;Dog;N;Staffordshire Bull Terrier;Pit Bull Terrier;Tan;Copper;NIGHTCLIFF
Bindi;F;Dog;Y;Bullmastiff;;Cream;;LUDMILLA
Mr Miyagi;M;Cat;Y;Domestic Short Haired;;Black;White;LEANYER
Ace;M;Dog;N;Rottweiler;;Black;Tan;WULAGI
Coco;F;Dog;N;Pit Bull Terrier;Mixed Breed;Cream;White;LEANYER
Bailey;M;Dog;Y;Beagle;;Black;Tan;RAPID CREEK
Trip;F;Dog;N;Border Collie;;Blue Merle;;NIGHTCLIFF
Rocket;M;Dog;N;Border Collie;;Black;Tri Colour;NIGHTCLIFF
Bliss;F;Dog;Y;German Shepherd Dog;Husky;Tan;Black;DARWIN
Lil Boof;F;Dog;Y;American Staffordshire Terrier;;Buckskin;;BAYVIEW
Dogmeat;M;Dog;Y;German Shepherd Dog;;Brown;;STUART PARK
Damper;M;Dog;N;Bull Arab;Boxer;Brown;White;KARAMA
Twixie;F;Dog;N;Heeler;Kelpie;Brown;;LEANYER
Macey;F;Dog;Y;Mixed Breed;;Brown;;ALAWA
Leia;F;Dog;Y;Dachshund (Miniature);;Brown;;LYONS
Poppy Costelloe;F;Dog;N;Darwin Special;;Tan;;TIWI
Lilly;F;Dog;Y;German Short Haired Pointer;;Black;;NIGHTCLIFF
Pepi;M;Dog;N;Shih Tzu;Maltese;Beige;;ALAWA
Tilly;F;Dog;Y;Darwin Special;;White;Black;BERRIMAH
Bunnie;F;Dog;Y;Heeler;Corgi;Red;White;LEANYER
Shadow;F;Dog;Y;Australian Shepherd;;Black;Tri Colour;MUIRHEAD
Layla;F;Dog;Y;Chihuahua;Jack Russell Terrier;Black;Tan;KARAMA
Ringo;M;Dog;N;Rottweiler;;Black;Tan;ANULA
Bella;F;Cat;Y;British Short Hair;;Grey;White;MUIRHEAD
Pluto;M;Dog;Y;Labrador;Mixed Breed;Black;White;COCONUT GROVE
Bronte;F;Cat;N;Domestic Short Haired;;Black;;LUDMILLA
Maggie;F;Dog;Y;Australian Cattle Dog;Cross Breed;Red Roan;;FANNIE BAY
Nova;F;Dog;Y;Staffordshire Bull Terrier;Cross Breed;Black;White;MUIRHEAD
Margo;F;Cat;Y;Domestic Short Haired;;Tabby;;NAKARA
Murphy Fallon;M;Dog;Y;Bulldog;;Yellow;Brown;RAPID CREEK
Slim;M;Dog;N;Mixed Breed;;White;Brown;ALAWA
Rio;U;Dog;N;Pug;;Fawn;;MUIRHEAD
Grover;M;Dog;Y;Irish Wolfhound;Smithfield;Grey;White;LUDMILLA
Hazel;F;Dog;Y;Dachshund;;Dapple;;NAKARA
Trooper Friday;M;Dog;N;American Staffordshire Terrier;Mixed Breed;White;;LEANYER
Millie;F;Dog;Y;Jack Russell Terrier;Shih Tzu;White;Tan;MUIRHEAD
Annie;F;Cat;Y;Burmese;;Unknown;;LARRAKEYAH
Coco;F;Dog;Y;German Short Haired Pointer;;Brown;;WULAGI
Hercules;M;Dog;Y;Staffordshire Bull Terrier;Cross Breed;Fawn;;LYONS
Mimi;F;Cat;Y;Mixed Breed;;Unknown;;LUDMILLA
Marley;F;Dog;Y;Maltese;Shih Tzu;Black;White;LYONS
Elly Mae;F;Dog;Y;Dachshund;;Chocolate;Tan;KARAMA
Pixie;F;Dog;Y;Jack Russell Terrier;;White;Tan;MALAK
Lucy;F;Dog;N;Unknown;;Brown;;FANNIE BAY
Pento;F;Dog;Y;Staffordshire Bull Terrier;Mixed Breed;White;;NIGHTCLIFF
Mrs Myrtle;F;Dog;Y;Maremma;;White;;LARRAKEYAH
Otis;M;Dog;Y;Maltese;Shih Tzu;Black;Tan;BERRIMAH
Drama Queen;F;Cat;Y;British Short Hair;;Blue;;LYONS
Luna;F;Dog;Y;Brittany Spaniel;;Orange;White;LEANYER
Ollie;M;Dog;Y;Spoodle;;Latte;;NAKARA
Christopher Robin;M;Dog;N;Wolfhound;Cross Breed;Brindle;;NAKARA
Luki;M;Dog;N;Darwin Special;;Black;White;JINGILI
Leo;M;Dog;N;Bull Arab;Great Dane;Grey;White;MUIRHEAD
Benji;M;Dog;Y;Beagle;Cavalier King Charles Spaniel;Tri Colour;;MUIRHEAD
Boy;M;Dog;N;Staffordshire Bull Terrier;;Brindle;;RAPID CREEK
Dolly;F;Dog;Y;Catahoula;Cross Breed;Brindle;;LYONS
Freckles;F;Dog;Y;Mastiff;Cross Breed;White;Brown;KARAMA
Femme;F;Dog;Y;Rottweiler;;Black;Tan;MALAK
Watson;M;Dog;Y;Cavoodle;;Red;;MUIRHEAD
Loki;M;Dog;N;American Staffordshire Terrier;Bull Arab;Brown;;MALAK
Marcos;M;Dog;N;Labrador;Great Dane;Black;;KARAMA
Roki;M;Dog;N;Mixed Breed;;White;;ALAWA
Miss Muffet;F;Dog;Y;Terrier;;Tan;;KARAMA
Toby;F;Dog;Y;Beagle;;Tri Colour;;KARAMA
Charlie;M;Dog;N;Shar Pei;Cross Breed;Black;Tan;LEANYER
Daisy;F;Dog;N;Mixed Breed;;Black;;NIGHTCLIFF
Queenie;F;Dog;Y;Shar Pei;Staffordshire Bull Terrier;Fawn;;KARAMA
Choppa;M;Dog;Y;Great Dane;Mixed Breed;Brown;;MALAK
Bear;M;Dog;Y;Maltese;Cross Breed;White;;MALAK
Prince Vijay;M;Dog;Y;Kelpie;;Brown;;STUART PARK
Ollie;M;Dog;Y;Jack Russell Terrier;Chihuahua;Black;Tan;PARAP
DUSTY;M;Dog;Y;Shar Pei;Cross Breed;Brown;;STUART PARK
KOVU;M;Cat;Y;Domestic Short Haired;;Black;White;WANGURI
JAX;M;Dog;N;Staffordshire Bull Terrier;;Grey;;WULAGI
KNOX;M;Dog;N;Shih Tzu;;White;Black;MILLNER
Javier;M;Dog;Y;Rottweiler;Pit Bull Terrier;Black;Tan;TIWI
NOVA;F;Dog;N;Bull Arab;French Mastiff;Tan;;JINGILI
NYX;F;Cat;Y;Mixed Breed;;Tabby;White;WULAGI
BUSTER;F;Dog;Y;Labrador;Bullmastiff;Black;;MALAK
Jonah;M;Dog;Y;German Shepherd Dog;;Black;Tan;PARAP
SOCKS;F;Dog;Y;French Mastiff;;Tan;;STUART PARK
Wombat;M;Dog;Y;Rottweiler;;Tan;;KARAMA
Tipper;M;Dog;N;Kelpie;;Black;Tan;FANNIE BAY
Buttercup;F;Dog;Y;Shar Pei;Cross Breed;Tan;;ANULA
Yeti;M;Dog;N;Dachshund;French Bulldog;Caramel;;ALAWA
Marloo;M;Dog;Y;Poodle;;White;;NAKARA
Pickle;F;Cat;Y;Domestic Short Haired;;Tabby;White;MUIRHEAD
Sam;M;Dog;Y;Maltese;;White;;DARWIN
Leo's Boots;M;Dog;N;Border Collie;;Brown;White;LUDMILLA
ECLIPSE;M;Dog;N;Great Dane;Rottweiler;Black;;LEANYER
MOZEE;F;Dog;Y;Whippet;;Fawn;Blonde;LEANYER
FERN;F;Dog;Y;Whippet;;Grey;Blue;LEANYER
Smiley;F;Dog;Y;Blue Heeler;;Black;Grey;LUDMILLA
Teddy;M;Dog;Y;Schnoodle;;Red;Gold;LEANYER
Charlie;M;Dog;Y;Spoodle;;Black;;FANNIE BAY
Unknown;F;Dog;Y;Unknown;;Red;;PARAP
Donny;M;Dog;N;Staffordshire Bull Terrier;;Brindle;;STUART PARK
Bosley;M;Dog;Y;Saint Bernard;;Tri Colour;;STUART PARK
