month;vehicle_type;total_distinct_users;total_trips;total_distance_in_km;provider;co2_offset;ave_dist_per_trip;season
2024-01;E-Bike;503;997;1545.3500000000001;Beam;317.01;1.55;Nov - Apr
2024-01;E-Scooter;3041;13968;16202.88;Beam;3323.0;1.16;Nov - Apr
2024-02;E-Bike;403;880;1258.3999999999999;Beam;258.59;1.43;Nov - Apr
2024-03;E-Scooter;3938;16832;20366.72;Beam;4187.0;1.21;Nov - Apr
2024-06;E-Bike;1650;3789;7919.009999999999;Beam;1626.3;2.09;May - Oct
2024-07;E-Bike;1977;4736;10277.119999999999;Beam;2103.8;2.17;May - Oct
2024-08;E-Scooter;9998;51799;72518.59999999999;Beam;14852.0;1.4;May - Oct
2024-09;E-Bike;1393;3215;6558.6;Beam;1343.19;2.04;May - Oct
2024-11;E-Scooter;6690;35656;45639.68;Beam;9333.0;1.28;Nov - Apr
2025-05;E-Scooter;7677;50673;43072.049999999996;Beam;8842.0;0.8499999999999999;May - Oct
2025-06;E-Bike;471;1269;2309.58;Beam;472.48;1.8199999999999998;May - Oct
2025-06;E-Scooter;8597;53499;49219.08;Beam;10033.0;0.92;May - Oct
2025-11;E-Bike;428;1328;1832.6399999999999;Beam;374.63;1.38;Nov - Apr
