lga;census_year;state;category;sub_category;males;females;persons;year_text
Darwin;2021;Northern Territory;Aboriginal and/or Torres Strait Islander persons;Torres Strait Islander;132.0;123.0;253.0;2021
Darwin;2021;Northern Territory;Language used at home;Australian citizen;30144.0;30053.0;60198.0;2021
Darwin;2021;Northern Territory;Age of persons attending an education institution(e);0-4 years;696.0;619.0;1314.0;2021
Darwin (C);2011;Northern Territory;Age groups;25-34 years;6928.0;6557.0;13485.0;2011
Darwin (C);2011;Northern Territory;Age of persons attending an educational institution(d);15-19 years;1416.0;1274.0;2690.0;2011
Darwin (C);2011;Northern Territory;Age of persons attending an educational institution(d);25 years and over;1330.0;2133.0;3463.0;2011
Darwin (C);2016;Northern Territory;Age groups;0-4 years;2696.0;2653.0;5345.0;2016
Darwin (C);2006;Northern Territory;Age groups;75-84 years;512.0;549.0;1061.0;2006
Darwin (C);2006;Northern Territory;Birthplace;Elsewhere(c);7060.0;7127.0;14187.0;2006
Darwin (C);2006;Northern Territory;Indigenous persons;Both Aboriginal and Torres Strait Islander(b);276.0;336.0;612.0;2006
Darwin (C);2006;Northern Territory;Highest year of school completed(f);Year 8 or below;1269.0;1261.0;2530.0;2006
Darwin (C);2011;Northern Territory;Birthplace;Elsewhere(b);9897.0;9561.0;19458.0;2011
Darwin;2021;Northern Territory;Age groups;15-19 years;2040.0;2007.0;4049.0;2021
Darwin;2021;Northern Territory;Language used at home;English only;24750.0;24207.0;48953.0;2021
Darwin;2021;Northern Territory;Age of persons attending an education institution(e);25 years and over;2295.0;3530.0;5826.0;2021
Darwin (C);2011;Northern Territory;Age groups;20-24 years;2964.0;2607.0;5571.0;2011
Darwin;2021;Northern Territory;Age groups;25-34 years;7711.0;8281.0;15994.0;2021
Darwin;2021;Northern Territory;Highest year of school completed(f);Year 9 or equivalent;1173.0;1067.0;2237.0;2021
Darwin (C);2011;Northern Territory;Age groups;35-44 years;5840.0;5621.0;11461.0;2011
Darwin (C);2011;Northern Territory;Highest year of school completed(e);Year 11 or equivalent;3754.0;3163.0;6917.0;2011
